"row","date","XAU_VND"
"1",2015-09-09,29979884.8296
"2",2015-09-10,30214045.0021575
"3",2015-09-11,30114831.053835
"4",2015-09-14,30062424.15792
"5",2015-09-15,30028883.75418
"6",2015-09-16,30396404.3540475
"7",2015-09-17,30704497.14633
"8",2015-09-18,30922978.90851
"9",2015-09-21,30758793.133005
"10",2015-09-22,30540979.0272
"11",2015-09-23,30699165.42036
"12",2015-09-24,31292357.88393
"13",2015-09-25,31121743.689792
"14",2015-09-28,30743293.31694
"15",2015-09-29,30609805.869135
"16",2015-09-30,30273541.5045
"17",2015-10-01,30234172.324965
"18",2015-10-02,30844870.708545
"19",2015-10-05,30779414.340675
"20",2015-10-06,31145365.197513
"21",2015-10-07,31098936.71682
"22",2015-10-08,30507990.303552
"23",2015-10-09,31036804.9521585
"24",2015-10-12,31373784.954
"25",2015-10-13,31580668.6056
"26",2015-10-14,32002087.341285
"27",2015-10-15,31945923.906165
"28",2015-10-16,31624538.24124
"29",2015-10-19,31604082.998175
"30",2015-10-20,31756912.345665
"31",2015-10-21,31513627.46565
"32",2015-10-22,31330626.018225
"33",2015-10-23,31436942.77539
"34",2015-10-26,31331185.1616
"35",2015-10-27,31420936.74618
"36",2015-10-28,31127399.07387
"37",2015-10-29,30859255.8609885
"38",2015-10-30,30764193.270393
"39",2015-11-02,30537939.4575
"40",2015-11-03,30117756.14232
"41",2015-11-04,29843958.359208
"42",2015-11-05,29750573.2590225
"43",2015-11-06,29354388.118272
"44",2015-11-09,29531297.814675
"45",2015-11-10,29442511.031235
"46",2015-11-11,29321025.96522
"47",2015-11-12,29307953.7959625
"48",2015-11-13,29289466.88829
"49",2015-11-16,29304017.939025
"50",2015-11-17,29008227.6875475
"51",2015-11-18,29012952.13257
"52",2015-11-19,29327728.9338
"53",2015-11-20,29211220.032825
"54",2015-11-23,28993206.564525
"55",2015-11-24,29182645.183965
"56",2015-11-25,29071394.642115
"57",2015-11-26,29075337.94425
"58",2015-11-27,28704513.274245
"59",2015-11-30,28882268.72097
"60",2015-12-01,29000497.25157
"61",2015-12-02,28581589.6574175
"62",2015-12-03,28809650.3443875
"63",2015-12-04,29461924.79064
"64",2015-12-07,29018448.979155
"65",2015-12-08,29115586.38051
"66",2015-12-09,29088429.79656
"67",2015-12-10,29043165.88944
"68",2015-12-11,29159884.6425
"69",2015-12-14,28863451.541925
"70",2015-12-15,28825258.872393
"71",2015-12-16,29148381.155256
"72",2015-12-17,28563567.72795
"73",2015-12-18,28954078.2416505
"74",2015-12-21,29316002.584968
"75",2015-12-22,29151372.087018
"76",2015-12-23,29078019.05934
"77",2015-12-24,29228251.642512
"78",2015-12-25,29243169.310446
"79",2015-12-28,29042702.17722
"80",2015-12-29,28974050.34264
"81",2015-12-30,28724892.497925
"82",2015-12-31,28772017.58385
"83",2016-01-01,28756835.89173
"84",2016-01-04,29135293.78815
"85",2016-01-05,29215539.87507
"86",2016-01-06,29647626.9156375
"87",2016-01-07,30058575.744375
"88",2016-01-08,29909500.40412
"89",2016-01-11,29623349.428746
"90",2016-01-12,29397362.9014575
"91",2016-01-13,29541197.7390045
"92",2016-01-14,29163019.4625
"93",2016-01-15,29435730.897855
"94",2016-01-18,29408662.752
"95",2016-01-19,29432679.81372
"96",2016-01-20,29811663.322998
"97",2016-01-21,29739706.49592
"98",2016-01-22,29735367.06105
"99",2016-01-25,29865740.909175
"100",2016-01-26,30174149.7395415
"101",2016-01-27,30257076.525585
"102",2016-01-28,29888775.14454
"103",2016-01-29,29981331.235548
"104",2016-02-01,30312043.544595
"105",2016-02-02,30339033.633432
"106",2016-02-03,30697700.9108265
"107",2016-02-04,31058483.540643
"108",2016-02-05,31537320.483438
"109",2016-02-08,31991844.425448
"110",2016-02-09,31916005.24437
"111",2016-02-10,32163837.638961
"112",2016-02-11,33489187.581348
"113",2016-02-12,33299528.27058
"114",2016-02-15,32634177.31455
"115",2016-02-16,32407090.59204
"116",2016-02-17,32639300.804073
"117",2016-02-18,33216051.450225
"118",2016-02-19,33094299.8220255
"119",2016-02-22,32611743.433386
"120",2016-02-23,33114588.154011
"121",2016-02-24,33179657.998575
"122",2016-02-25,33285962.120004
"123",2016-02-26,32897977.24035
"124",2016-02-29,33366886.883397
"125",2016-03-01,33134881.640364
"126",2016-03-02,33370513.97865
"127",2016-03-03,33980019.297966
"128",2016-03-04,33828535.41522
"129",2016-03-07,34149802.764804
"130",2016-03-08,33892129.3383
"131",2016-03-09,33675094.910457
"132",2016-03-10,34139357.88216
"133",2016-03-11,33539096.592402
"134",2016-03-14,33206407.043868
"135",2016-03-15,33115820.174442
"136",2016-03-16,33952956.42102
"137",2016-03-17,33779587.793175
"138",2016-03-18,33755929.72863
"139",2016-03-21,33421079.686266
"140",2016-03-22,33565330.3818
"141",2016-03-23,32898792.4442625
"142",2016-03-24,32796911.2283145
"143",2016-03-25,32711029.4463975
"144",2016-03-28,32891602.7948775
"145",2016-03-29,33470751.4457025
"146",2016-03-30,32880250.2251025
"147",2016-03-31,33180897.15675
