date,price,market_cap,total_volume
2017-09-10,4132.6646422833,68424784707.49242,997139675.398169
2017-09-11,4164.97621199409,68968724069.36708,771493043.3837389
2017-09-12,4130.95628475182,68415142331.638626,1062536773.8295213
2017-09-13,3883.65200134942,64328714659.05176,1545425745.1412098
2017-09-14,3100.66815470405,51366093442.36449,1950938472.0145135
2017-09-15,3587.9431219159,59446207725.41725,3308099534.339308
2017-09-16,3606.27519721432,59757602841.68003,1399781741.4877734
2017-09-17,3553.43231625865,58889832717.23171,846880197.8947364
2017-09-18,4012.28582499344,66500676482.32742,1282809663.1080554
2017-09-19,3898.93473248234,64629619385.94208,942656241.4373351
2017-09-20,3858.02095060051,63957210363.29384,676074373.1781092
2017-09-21,3628.05858753461,60152757874.00039,913652257.307351
2017-09-22,3622.1830393146,60061814860.04741,767837732.7568976
2017-09-23,3763.41140627887,62411285738.3069,578068211.7796992
2017-09-24,3672.30507973319,60907151775.202774,429544014.3865627
2017-09-25,3866.70515274174,64137374771.87553,800311260.7601415
2017-09-26,3852.93520487706,63915425115.126785,544391497.5833492
2017-09-27,4134.21241496119,68589320812.824844,936452128.5755137
2017-09-28,4134.88495085993,68609525756.87619,852500405.3533716
2017-09-29,4130.41524600294,68544241007.41879,829225349.3886597
2017-09-30,4297.79117003372,71329258156.47789,720251082.9981893
2017-10-01,4347.57873545332,72162524814.14323,682387248.0888995
2017-10-02,4383.32549736353,72763860755.0592,738468958.9611623
2017-10-03,4319.06921246641,71707074498.61319,760685985.6944162
2017-10-04,4231.46418703684,70259971867.79242,573368922.9375935
2017-10-05,4290.38040438142,71244448102.50621,713160614.1358172
2017-10-06,4347.54723950876,72202651600.90865,623863525.065278
2017-10-07,4405.0162007055,73165830198.24252,468192424.3612093
2017-10-08,4562.32193109848,75788890435.07802,771225396.3362144
2017-10-09,4758.72164979337,79061044585.54332,1128809802.8032467
2017-10-10,4769.47734676417,79249573590.62794,1134289150.2871664
2017-10-11,4807.92589489803,79896727838.75774,836737765.8088199
2017-10-12,5331.61930195449,88609513441.24539,2084912155.2398603
2017-10-13,5610.49316222874,93253757323.27051,3174154333.22038
2017-10-14,5679.21622165638,94406037193.81062,2311782991.9538355
2017-10-15,5684.04710411913,94500193338.09784,1665374310.9042103
2017-10-16,5728.93275055115,95258545426.38307,1060235879.6212636
2017-10-17,5643.85907705172,93855824390.12392,1106795866.7539878
2017-10-18,5592.78222421231,93017336298.87627,2100240729.7126238
2017-10-19,5696.38014134367,94752516351.64403,1229468606.297799
2017-10-20,5952.7713587923,99030673396.69295,1843078157.4676561
2017-10-21,6043.96673129542,100559216276.95663,1763987336.866072
2017-10-22,6003.4640189335,99899292227.65865,1799855389.6500697
2017-10-23,5959.98304059248,99188570754.3323,2039339670.519878
2017-10-24,5550.08158528565,92378194194.24738,2240037527.3631616
2017-10-25,5704.87480650775,94967978387.47089,1621897626.2100537
2017-10-26,5883.05318447111,97947023064.89772,1501048614.382047
2017-10-27,5775.51666530736,96164443214.40039,1332315431.0582082
2017-10-28,5734.30745398276,95484533854.62123,892992277.0600395
2017-10-29,6123.54977135535,101977770673.5449,1942980852.5876098
2017-10-30,6104.38870915078,101669814828.64807,1307795534.5842988
2017-10-31,6368.65164135745,106082152741.21794,1800486324.20211
2017-11-01,6714.78898671902,111860407349.42265,2095690342.820862
2017-11-02,7059.7938605488,117621545279.66475,4363333285.959415
2017-11-03,7234.73838202036,120546744685.76022,2826731064.9064713
2017-11-04,7390.53522652395,123154674357.55318,2043449643.0088456
2017-11-05,7416.26795098255,123596829565.80898,1942850008.8349419
2017-11-06,7103.04608116249,118388777524.7116,2653734034.8498173
