date, sell_price, buy_price
2023-02-02 14:20,55550,54450
2023-02-02 14:25,55500,54400
2023-02-02 15:25,55550,54450
2023-02-02 16:20,55500,54400
2023-02-03 00:00,55500,54400
2023-02-03 08:35,55100,54000
2023-02-03 08:50,55200,54100
2023-02-04 00:00,55200,54100
2023-02-04 08:40,54600,53600
2023-02-04 08:50,54550,53550
2023-02-05 00:00,54550,53550
2023-02-06 00:00,54550,53550
2023-02-06 08:30,54650,53650
2023-02-06 08:35,54700,53700
2023-02-06 08:50,54750,53750
2023-02-06 09:20,54800,53800
2023-02-06 11:05,54850,53850
2023-02-06 11:50,54850,53900
2023-02-06 14:10,54900,53950
2023-02-07 00:00,54900,53950
2023-02-07 08:25,54800,53850
2023-02-07 09:00,54850,53900
2023-02-07 10:30,54900,53950
2023-02-08 00:00,54900,53950
2023-02-08 08:30,54950,54000
2023-02-08 09:15,54900,53950
2023-02-08 09:25,54850,53950
2023-02-08 09:30,54800,53900
2023-02-08 14:20,54750,53850
2023-02-08 14:35,54800,53900
2023-02-08 14:50,54850,53950
2023-02-09 00:00,54850,53950
2023-02-09 08:25,54800,53900
2023-02-09 09:05,54850,53950
2023-02-09 11:50,54900,54000
2023-02-09 12:55,54850,53950
2023-02-09 13:20,54900,54000
2023-02-09 15:40,54950,54050
2023-02-10 00:00,54950,54050
2023-02-10 08:20,54800,53900
2023-02-10 08:30,54750,53850
2023-02-10 10:50,54700,53800
2023-02-10 14:50,54750,53850
2023-02-10 15:05,54800,53900
2023-02-10 16:20,54750,53850
2023-02-11 00:00,54750,53850
2023-02-11 10:25,54800,53900
2023-02-12 00:00,54800,53900
2023-02-13 00:00,54800,53900
2023-02-13 08:20,54750,53850
2023-02-13 11:30,54700,53800
2023-02-13 13:40,54750,53850
2023-02-13 15:55,54800,53900
2023-02-13 16:05,54750,53850
2023-02-14 00:00,54750,53850
2023-02-14 08:30,54700,53800
2023-02-14 11:05,54650,53750
2023-02-14 13:45,54700,53800
2023-02-14 13:55,54750,53850
2023-02-14 14:20,54700,53800
2023-02-14 14:35,54650,53750
2023-02-14 15:50,54700,53800
2023-02-15 00:00,54700,53800
2023-02-15 08:35,54650,53750
2023-02-15 09:15,54700,53800
2023-02-15 10:05,54650,53750
2023-02-15 11:00,54600,53700
2023-02-15 13:45,54550,53650
2023-02-15 14:40,54500,53600
2023-02-15 15:00,54450,53550
2023-02-15 15:20,54400,53500
2023-02-16 00:00,54400,53500
2023-02-16 08:20,54450,53550
2023-02-16 08:35,54500,53600
2023-02-16 09:40,54450,53550
2023-02-16 13:30,54400,53500
2023-02-16 13:50,54450,53550
2023-02-16 15:00,54400,53500
2023-02-16 15:10,54450,53550
2023-02-16 15:45,54400,53500
2023-02-17 00:00,54400,53500
2023-02-17 08:45,54350,53450
2023-02-17 09:05,54300,53400
2023-02-17 13:35,54250,53350
2023-02-17 14:50,54300,53400
2023-02-17 15:15,54250,53350
2023-02-17 15:40,54200,53300
2023-02-17 16:00,54150,53250
2023-02-18 00:00,54150,53250
2023-02-18 08:35,54400,53500
2023-02-18 08:40,54350,53450
2023-02-18 08:50,54400,53500
2023-02-18 08:55,54450,53550
2023-02-18 10:05,54500,53600
2023-02-18 10:10,54450,53550
2023-02-19 00:00,54450,53550
2023-02-20 00:00,54450,53550
2023-02-20 09:30,54500,53600
2023-02-20 11:30,54550,53650
2023-02-20 11:50,54600,53700
2023-02-20 13:30,54550,53650
2023-02-20 14:45,54600,53700
2023-02-20 15:20,54550,53650
2023-02-20 15:50,54500,53600
2023-02-20 16:00,54550,53650
2023-02-21 00:00,54550,53650
2023-02-21 08:30,54500,53600
2023-02-21 10:15,54450,53550
2023-02-21 14:30,54400,53500
2023-02-22 00:00,54400,53500
2023-02-22 09:05,54450,53550
2023-02-22 10:30,54400,53500
2023-02-22 16:20,54350,53450
