time,open,high,low,close,EMA,Smoothing Line,EMA,Smoothing Line,EMA,Smoothing Line,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,Plot,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label,Histogram,MACD,Signal
1997-08-20T05:00:00+07:00,4527782.88776,4565843.329220001,4527782.88776,4553156.515400001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1997-08-21T05:00:00+07:00,4535535.94065,4570777.0901500005,4528487.710750001,4560204.7453000005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1997-08-22T05:00:00+07:00,4557244.488742,4623638.8144000005,4536240.7636400005,4574301.205100001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1997-08-25T05:00:00+07:00,4591921.7798500005,4591921.7798500005,4570072.26716,4573596.382110001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1997-08-26T05:00:00+07:00,4572186.736130001,4610952.000580001,4572186.736130001,4590512.13387,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1997-08-27T05:00:00+07:00,4581349.4350000005,4596855.54078,4574301.205100001,4584168.726960001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1997-08-28T05:00:00+07:00,4581741.27125,4597248.703245001,4574692.438525001,4584560.80434,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1997-08-29T05:00:00+07:00,4569053.3723450005,4590904.7537925,4567643.6058,4581741.27125,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1997-09-02T05:00:00+07:00,4570463.138890001,4581741.27125,4540858.041445001,4542972.6912625,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1997-09-08T05:00:00+07:00,4572026.62581,4583308.61625,4542411.400905001,4544526.7741125,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50,NaN,NaN,NaN,NaN,NaN,NaN,NaN
