time,close,EMA,RSI,Upper Bollinger Band,Lower Bollinger Band,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
2000-07-28,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000-07-31,101.55000305,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000-08-02,103.37999725,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000-08-04,105.19999695,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000-08-07,106.91999817,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000-08-09,108.63999939,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000-08-11,110.36000061,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000-08-14,112.08000183,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000-08-16,113.80000305,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000-08-18,115.51999664,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000-08-21,117.23999786,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000-08-23,118.95999908,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000-08-25,118.83999634,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000-08-28,117,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000-08-30,115.15000153,NaN,83.26746546382776,NaN,NaN,NaN,NaN,83.26746546382776,NaN
2000-09-01,113.37000275,NaN,76.80180562883477,NaN,NaN,NaN,NaN,NaN,NaN
2000-09-06,112.51000214,NaN,73.81936669838677,NaN,NaN,NaN,NaN,NaN,NaN
2000-09-08,112.38999939,NaN,73.39109378089896,NaN,NaN,73.39109378089896,NaN,NaN,NaN
2000-09-11,114.11000061,NaN,75.57810909277899,NaN,NaN,NaN,NaN,NaN,NaN
2000-09-13,116.08000183,NaN,77.82607536729215,NaN,NaN,NaN,NaN,NaN,NaN
2000-09-15,118.04000092,NaN,79.81664728222522,NaN,NaN,NaN,NaN,NaN,NaN
2000-09-18,118.19000244,NaN,79.96488259378974,NaN,NaN,NaN,NaN,NaN,NaN
2000-09-20,118.20999908,NaN,79.9859853230009,NaN,NaN,NaN,NaN,NaN,NaN
2000-09-22,118.76000214,NaN,80.59150918457709,NaN,NaN,NaN,NaN,NaN,NaN
2000-09-25,118.98000336,NaN,80.84120422869562,NaN,NaN,NaN,NaN,NaN,NaN
2000-09-27,119.69000244,NaN,81.66119067056216,NaN,NaN,NaN,NaN,NaN,NaN
2000-09-29,120.70999908,NaN,82.80010214859999,NaN,NaN,NaN,NaN,NaN,NaN
2000-10-02,120.91999817,NaN,83.0337214827473,NaN,NaN,NaN,NaN,NaN,NaN
2000-10-04,121.13999939,NaN,83.28979057776851,NaN,NaN,NaN,NaN,NaN,NaN
2000-10-06,122.20999908,NaN,84.51399309766279,NaN,NaN,NaN,NaN,NaN,NaN
2000-10-09,124.33000183,NaN,86.60748370033458,NaN,NaN,NaN,NaN,NaN,NaN
2000-10-11,126.44999695,NaN,88.30944546674282,NaN,NaN,NaN,NaN,NaN,NaN
2000-10-13,128.57000732,NaN,89.71680054068764,NaN,NaN,NaN,NaN,NaN,NaN
2000-10-16,130.71000671,NaN,90.90679732977469,NaN,NaN,NaN,NaN,NaN,NaN
2000-10-18,132.8500061,NaN,91.91445189844245,NaN,NaN,NaN,NaN,NaN,NaN
2000-10-20,135.03999329,NaN,92.79443702897949,NaN,NaN,NaN,NaN,NaN,NaN
2000-10-23,136.55000305,NaN,93.33320966387019,NaN,NaN,NaN,NaN,NaN,NaN
2000-10-25,137.08000183,NaN,93.51645377290207,NaN,NaN,NaN,NaN,NaN,NaN
2000-10-27,139.57000732,NaN,94.30801912267411,NaN,NaN,NaN,NaN,NaN,NaN
2000-10-30,140.83999634,NaN,94.66573104670282,NaN,NaN,NaN,NaN,NaN,NaN
2000-11-01,143.33000183,NaN,95.29064019105941,NaN,NaN,NaN,NaN,NaN,NaN
2000-11-03,145.83000183,NaN,95.82009919001497,NaN,NaN,NaN,NaN,NaN,NaN
2000-11-06,148.57000732,NaN,96.30978571606668,NaN,NaN,NaN,NaN,NaN,NaN
2000-11-08,151.32000732,NaN,96.72453961201768,NaN,NaN,NaN,NaN,NaN,NaN
