time,open,high,low,close,"VN30TRI, HOSE: Open","VN30TRI, HOSE: High","VN30TRI, HOSE: Low","VN30TRI, HOSE: Close","VNSMALLTRI, HOSE: Open","VNSMALLTRI, HOSE: High","VNSMALLTRI, HOSE: Low","VNSMALLTRI, HOSE: Close",Volume,Volume MA,RSI,K,D
2016-04-06T09:00:00+07:00,756.19,756.19,756.19,756.19,588.78003,588.78003,588.78003,588.78003,747.60999,747.60999,747.60999,747.60999,NaN,NaN,NaN,NaN,NaN
2016-04-07T09:00:00+07:00,759.52002,759.52002,759.52002,759.52002,591.71997,591.71997,591.71997,591.71997,753.72998,753.72998,753.72998,753.72998,NaN,NaN,NaN,NaN,NaN
2016-04-08T09:00:00+07:00,765.34998,765.34998,765.34998,765.34998,591.40002,591.40002,591.40002,591.40002,759.16998,759.16998,759.16998,759.16998,NaN,NaN,NaN,NaN,NaN
2016-04-11T09:00:00+07:00,773.85999,773.85999,773.85999,773.85999,599.38,599.38,599.38,599.38,767.95001,767.95001,767.95001,767.95001,NaN,NaN,NaN,NaN,NaN
2016-04-12T09:00:00+07:00,775.70001,775.70001,775.70001,775.70001,600.08002,600.08002,600.08002,600.08002,768.52002,768.52002,768.52002,768.52002,NaN,NaN,NaN,NaN,NaN
2016-04-13T09:00:00+07:00,775.25,775.25,775.25,775.25,597.17999,597.17999,597.17999,597.17999,769.71002,769.71002,769.71002,769.71002,NaN,NaN,NaN,NaN,NaN
2016-04-14T09:00:00+07:00,774.88,774.88,774.88,774.88,599.39001,599.39001,599.39001,599.39001,776.31,776.31,776.31,776.31,NaN,NaN,NaN,NaN,NaN
2016-04-15T09:00:00+07:00,774.59998,774.59998,774.59998,774.59998,597.60999,597.60999,597.60999,597.60999,774.25,774.25,774.25,774.25,NaN,NaN,NaN,NaN,NaN
2016-04-19T09:00:00+07:00,762.95001,762.95001,762.95001,762.95001,587.98999,587.98999,587.98999,587.98999,762.28003,762.28003,762.28003,762.28003,NaN,NaN,NaN,NaN,NaN
2016-04-20T09:00:00+07:00,764.71002,764.71002,764.71002,764.71002,588.60999,588.60999,588.60999,588.60999,757.35999,757.35999,757.35999,757.35999,NaN,NaN,NaN,NaN,NaN
2016-04-21T09:00:00+07:00,766.39001,766.39001,766.39001,766.39001,596.19,596.19,596.19,596.19,763.15997,763.15997,763.15997,763.15997,NaN,NaN,NaN,NaN,NaN
2016-04-22T09:00:00+07:00,773.25,773.25,773.25,773.25,609.09998,609.09998,609.09998,609.09998,771.23999,771.23999,771.23999,771.23999,NaN,NaN,NaN,NaN,NaN
2016-04-25T09:00:00+07:00,776.70001,776.70001,776.70001,776.70001,607.84998,607.84998,607.84998,607.84998,774.21002,774.21002,774.21002,774.21002,NaN,NaN,NaN,NaN,NaN
2016-04-26T09:00:00+07:00,777.98999,777.98999,777.98999,777.98999,615.12,615.12,615.12,615.12,776.98999,776.98999,776.98999,776.98999,NaN,NaN,NaN,NaN,NaN
2016-04-27T09:00:00+07:00,777.08002,777.08002,777.08002,777.08002,611.19,611.19,611.19,611.19,777.45001,777.45001,777.45001,777.45001,NaN,NaN,71.66566825610302,NaN,NaN
2016-04-28T09:00:00+07:00,773.78003,773.78003,773.78003,773.78003,609.34998,609.34998,609.34998,609.34998,775.02002,775.02002,775.02002,775.02002,NaN,NaN,66.74547286049375,NaN,NaN
2016-04-29T09:00:00+07:00,779.92999,779.92999,779.92999,779.92999,615.09998,615.09998,615.09998,615.09998,781.08002,781.08002,781.08002,781.08002,NaN,NaN,70.77268466512567,NaN,NaN
