time,open,high,low,close,"VN30, HOSE: Open","VN30, HOSE: High","VN30, HOSE: Low","VN30, HOSE: Close","VNSMALLCAP, HOSE: Open","VNSMALLCAP, HOSE: High","VNSMALLCAP, HOSE: Low","VNSMALLCAP, HOSE: Close",Volume,Volume MA,RSI,K,D
2014-01-27T09:00:00+07:00,559.66998,572.02002,559.03003,571.91998,625.63,625.77002,622.31,624.70001,558.89001,566.44,558.85999,566.44,NaN,NaN,NaN,NaN,NaN
2014-02-06T09:00:00+07:00,572.57001,576.96002,571.58002,576.96002,623.08002,629.39001,619.04999,626.31,565.57001,574.95001,565.57001,574.72998,NaN,NaN,NaN,NaN,NaN
2014-02-07T09:00:00+07:00,579.42999,582.28998,572.40997,575.58002,629.97998,632.23999,621.96997,622.82001,577,580.81,573.21997,576,NaN,NaN,NaN,NaN,NaN
2014-02-10T09:00:00+07:00,574.98999,586.35999,574.13,586.35999,622.92999,631.41998,622.46002,631.41998,575.09003,583.45001,575.09003,583.45001,NaN,NaN,NaN,NaN,NaN
2014-02-11T09:00:00+07:00,589.90997,594.35999,583.07001,584.60999,634.90002,637.26001,627.40002,627.40002,587.15997,592.73999,581.90997,581.90997,NaN,NaN,NaN,NaN,NaN
2014-02-12T09:00:00+07:00,588.25,593.83002,585.84003,593.83002,629.71997,637.78998,627.33002,637.78998,583.29999,591.15997,582.06,591.15997,NaN,NaN,NaN,NaN,NaN
2014-02-13T09:00:00+07:00,594.20001,599.32001,592.08002,598.65002,640.17999,643.65002,637.28998,641.72998,591.78998,600.39001,591.78998,600.39001,NaN,NaN,NaN,NaN,NaN
2014-02-14T09:00:00+07:00,599.09003,602.59003,595.59003,601.63,641.81,645.94,639.57001,641.40997,601.38,609.90002,601.38,609.72998,NaN,NaN,NaN,NaN,NaN
2014-02-17T09:00:00+07:00,600.16998,606.69,598.73999,603.40997,638.46997,642.71997,635.28003,638.79999,612.08002,617.35999,607.51001,613.72998,NaN,NaN,NaN,NaN,NaN
2014-02-18T09:00:00+07:00,602.85999,610.27002,602.60999,610.27002,640.03998,645.59998,638.32001,645.59998,617.02002,621.88,615.23999,621.88,NaN,NaN,NaN,NaN,NaN
2014-02-19T09:00:00+07:00,616.07001,619.54999,611.65002,619.54999,648.90997,650.57001,645.44,650.42999,626.95001,631.78998,620.23999,631.78998,NaN,NaN,NaN,NaN,NaN
2014-02-20T09:00:00+07:00,622.52002,624.83002,598.60999,606.35999,650.46997,654.31,631.72998,638.70001,632.21002,637.40002,608.16998,612.70001,NaN,NaN,NaN,NaN,NaN
2014-02-21T09:00:00+07:00,605.53998,608.16998,596.90002,607.15997,637.92999,643.63,630.09998,639.37,611,614.85999,602.17999,612.71997,NaN,NaN,NaN,NaN,NaN
2014-02-24T09:00:00+07:00,608.57001,615.04999,606.21997,615.04999,641.39001,648.48999,638.09998,648.48999,614.94,624,613.20001,624,NaN,NaN,NaN,NaN,NaN
2014-02-25T09:00:00+07:00,613.07001,618.77002,613.07001,618.28003,645.98999,661.53003,645.98999,661.53003,625.12,632.67999,624.28003,632.67999,NaN,NaN,79.34178522671826,NaN,NaN
