date,symbol,price
2020-11-26,FUESSVFL,11500
2020-11-27,FUESSVFL,11650
2020-11-30,FUESSVFL,11400
2020-12-01,FUESSVFL,11400
2020-12-02,FUESSVFL,12010
2020-12-03,FUESSVFL,11900
2020-12-04,FUESSVFL,12000
2020-12-07,FUESSVFL,12000
2020-12-08,FUESSVFL,12050
2020-12-09,FUESSVFL,12190
2020-12-10,FUESSVFL,12320
2020-12-11,FUESSVFL,12450
2020-12-14,FUESSVFL,12450
2020-12-15,FUESSVFL,12490
2020-12-16,FUESSVFL,12800
2020-12-17,FUESSVFL,12840
2020-12-18,FUESSVFL,13300
2020-12-21,FUESSVFL,13590
2020-12-22,FUESSVFL,13390
2020-12-23,FUESSVFL,13400
2020-12-24,FUESSVFL,13020
2020-12-25,FUESSVFL,13470
2020-12-28,FUESSVFL,13470
2020-12-29,FUESSVFL,13410
2020-12-30,FUESSVFL,13410
2020-12-31,FUESSVFL,13650
2021-01-04,FUESSVFL,14150
2021-01-05,FUESSVFL,14140
2021-01-06,FUESSVFL,14650
2021-01-07,FUESSVFL,14890
2021-01-08,FUESSVFL,15010
2021-01-11,FUESSVFL,14390
2021-01-12,FUESSVFL,15100
2021-01-13,FUESSVFL,15130
2021-01-14,FUESSVFL,15230
2021-01-15,FUESSVFL,15770
2021-01-18,FUESSVFL,15470
2021-01-19,FUESSVFL,14500
2021-01-20,FUESSVFL,14300
2021-01-21,FUESSVFL,14500
2021-01-22,FUESSVFL,15140
2021-01-25,FUESSVFL,14900
2021-01-26,FUESSVFL,14200
2021-01-27,FUESSVFL,14000
2021-01-28,FUESSVFL,13800
2021-01-29,FUESSVFL,13900
2021-02-01,FUESSVFL,13370
2021-02-02,FUESSVFL,13070
2021-02-03,FUESSVFL,14260
2021-02-04,FUESSVFL,14200
2021-02-05,FUESSVFL,14500
2021-02-08,FUESSVFL,14500
2021-02-09,FUESSVFL,14020
2021-02-17,FUESSVFL,15090
2021-02-18,FUESSVFL,15290
2021-02-19,FUESSVFL,15500
2021-02-22,FUESSVFL,15600
2021-02-23,FUESSVFL,15550
2021-02-24,FUESSVFL,15530
