date,symbol,price
2018-07-27,FUESSV50,12700
2018-07-30,FUESSV50,12900
2018-07-31,FUESSV50,13000
2018-08-01,FUESSV50,12800
2018-08-02,FUESSV50,12800
2018-08-03,FUESSV50,12900
2018-08-06,FUESSV50,13200
2018-08-07,FUESSV50,12900
2018-08-08,FUESSV50,12900
2018-08-09,FUESSV50,13100
2018-08-10,FUESSV50,13000
2018-08-13,FUESSV50,13100
2018-08-14,FUESSV50,13300
2018-08-15,FUESSV50,13010
2018-08-16,FUESSV50,13100
2018-08-17,FUESSV50,13200
2018-08-20,FUESSV50,13100
2018-08-21,FUESSV50,13200
2018-08-22,FUESSV50,13250
2018-08-23,FUESSV50,13400
2018-08-24,FUESSV50,13200
2018-08-27,FUESSV50,13350
2018-08-28,FUESSV50,13400
2018-08-29,FUESSV50,13400
2018-08-30,FUESSV50,13600
2018-08-31,FUESSV50,13700
2018-09-04,FUESSV50,13500
2018-09-05,FUESSV50,13100
2018-09-06,FUESSV50,12900
2018-09-07,FUESSV50,13000
2018-09-10,FUESSV50,12800
2018-09-11,FUESSV50,13300
2018-09-12,FUESSV50,13300
2018-09-13,FUESSV50,13400
2018-09-14,FUESSV50,13400
2018-09-17,FUESSV50,13300
2018-09-18,FUESSV50,13400
2018-09-19,FUESSV50,13500
2018-09-20,FUESSV50,13600
2018-09-21,FUESSV50,13510
2018-09-24,FUESSV50,13610
2018-09-25,FUESSV50,13700
2018-09-26,FUESSV50,13810
2018-09-27,FUESSV50,13850
2018-09-28,FUESSV50,13900
2018-10-01,FUESSV50,13950
2018-10-02,FUESSV50,13750
2018-10-03,FUESSV50,13700
2018-10-04,FUESSV50,13800
2018-10-05,FUESSV50,13700
2018-10-08,FUESSV50,13600
2018-10-09,FUESSV50,13600
2018-10-10,FUESSV50,13600
2018-10-11,FUESSV50,12800
2018-10-12,FUESSV50,13200
2018-10-15,FUESSV50,13000
2018-10-16,FUESSV50,13000
2018-10-17,FUESSV50,12960
2018-10-18,FUESSV50,13000
2018-10-19,FUESSV50,12800
2018-10-22,FUESSV50,12800
