"date" "TCEF" "BVFED" "VCBFBCF" "VFMVF4" "ETF_VFMVN30" "ETF_SSIVN50" "SSIBF" "TCBF" "VEOF" "SSISCA" "VCBFTBF" "VFMVF1"
"2015-09-23" 9988 NA 10544 10231 9400 8072 NA 9989 NA 10534 11829 22939
"2015-09-24" 9988 NA NA 10255 9300 8057 NA 9989 NA NA NA 22967
"2015-09-25" 9988 NA 10589 10247 9300 8030 NA 9989 NA NA 11851 22983
"2015-09-26" 9988 NA NA NA NA NA NA 9989 NA NA NA NA
"2015-09-27" 9988 NA NA NA NA NA NA 9989 NA NA NA NA
"2015-09-28" 9988 NA NA 10158 9300 7954 NA 9989 NA NA NA 22777
"2015-09-29" 9988 NA NA 10092 9200 7888 NA 9989 10241 NA NA 22652
"2015-09-30" 9967 NA 10574 10095 9500 7886 NA 10064 10248 10562 11842 22699
"2015-10-01" 9972 NA NA 10112 9300 7906 NA 10086 NA NA NA 22762
"2015-10-02" 9972 NA 10681 10098 9300 7930 NA 10086 NA NA 11942 22777
"2015-10-03" 9972 NA NA NA NA NA NA 10086 NA NA NA NA
"2015-10-04" 9972 NA NA NA NA NA NA 10086 NA NA NA NA
"2015-10-05" 9972 NA NA 10223 9300 8046 NA 10086 NA NA NA 23034
"2015-10-06" 9972 NA NA 10391 9400 8265 NA 10086 10347 NA NA 23386
"2015-10-07" 10182 NA 11069 10308 9400 8177 NA 10080 NA 10801 12281 23236
"2015-10-08" 10182 NA NA 10441 9600 8295 NA 10080 NA NA NA 23452
"2015-10-09" 10182 NA 11074 10406 9600 8316 NA 10080 NA NA 12298 23382
"2015-10-10" 10182 NA NA NA NA NA NA 10080 NA NA NA NA
"2015-10-11" 10182 NA NA NA NA NA NA 10080 NA NA NA NA
"2015-10-12" 10182 NA NA 10448 9700 8327 NA 10080 NA NA NA 23479
"2015-10-13" 10182 NA NA 10460 9600 8271 NA 10080 10473 NA NA 23454
"2015-10-14" 10272 NA 11092 10511 9500 8251 NA 10152 NA 11036 12320 23546
"2015-10-15" 10272 NA NA 10558 9500 8318 NA 10152 NA NA NA 23600
"2015-10-16" 10272 NA 11286 10586 9600 8303 NA 10152 NA NA 12485 23653
"2015-10-17" 10272 NA NA NA NA NA NA 10152 NA NA NA NA
"2015-10-18" 10272 NA NA NA NA NA NA 10152 NA NA NA NA
"2015-10-19" 10272 NA NA 10673 9700 8309 NA 10152 NA NA NA 23808
"2015-10-20" 10272 NA NA 10617 9600 8257 NA 10152 10558 NA NA 23647
"2015-10-21" 10221 NA 11387 10584 9700 8229 NA 10064 NA 11124 12596 23594
"2015-10-22" 10221 NA NA 10668 9700 8302 NA 10064 NA NA NA 23743
"2015-10-23" 10221 NA 11498 10769 9800 8314 NA 10064 NA NA 12705 23960
"2015-10-24" 10221 NA NA NA NA NA NA 10064 NA NA NA NA
"2015-10-25" 10221 NA NA NA NA NA NA 10064 NA NA NA NA
"2015-10-26" 10221 NA NA 10729 9800 8318 NA 10064 NA NA NA 23881
"2015-10-27" 10221 NA NA 10747 9700 8261 NA 10064 10488 NA NA 23910
"2015-10-28" 10367 NA 11620 10788 9700 8232 NA 10011 NA 11357 12790 23992
"2015-10-29" 10367 NA NA 10942 9800 8356 NA 10011 NA NA NA 24235
"2015-10-30" 10367 NA 11759 10938 9800 8349 NA 10011 NA NA 12911 24242
"2015-10-31" 10367 NA 11736 NA NA 8348 NA 10011 10705 11419 12886 NA
"2015-11-01" 10471 NA NA NA NA NA NA 10037 NA NA NA NA
"2015-11-02" 10471 NA NA 10808 9700 8230 NA 10037 NA NA NA 23973
"2015-11-03" 10471 NA NA 11045 9900 8342 NA 10037 10674 NA NA 24388
"2015-11-04" 10497 NA 11716 10994 9900 8314 NA 10023 NA 11444 12895 24268
"2015-11-05" 10497 NA NA 11102 9900 8310 NA 10023 NA NA NA 24506
"2015-11-06" 10497 NA 11751 11067 9900 8241 NA 10023 NA NA 12941 24427
"2015-11-07" 10497 NA NA NA NA NA NA 10023 NA NA NA NA
"2015-11-08" 10497 NA NA NA NA NA NA 10023 NA NA NA NA
"2015-11-09" 10497 NA NA 10957 9900 8231 NA 10023 NA NA NA 24220
"2015-11-10" 10497 NA NA 10869 9900 8161 NA 10023 10663 NA NA 24092
"2015-11-11" 10206 NA 11708 10866 9800 8110 NA 10056 NA 11372 12904 24055
"2015-11-12" 10206 NA NA 10990 9700 8165 NA 10056 NA NA NA 24290
"2015-11-13" 10206 NA 11908 11178 9800 8196 NA 10056 NA NA 13062 24639
"2015-11-14" 10206 NA NA NA NA NA NA 10056 NA NA NA NA
"2015-11-15" 10206 NA NA NA NA NA NA 10056 NA NA NA NA
"2015-11-16" 10206 NA NA 11202 9900 8129 NA 10056 NA NA NA 24660
"2015-11-17" 10206 NA NA 11074 9800 8145 NA 10056 10726 NA NA 24379
"2015-11-18" 10188 NA 11992 11066 9800 8158 NA 10090 NA 11655 13147 24334
"2015-11-19" 10188 NA NA 11010 9700 8115 NA 10090 NA NA NA 24199
"2015-11-20" 10188 NA 11996 11029 9700 8148 NA 10090 NA NA 13133 24269
"2015-11-21" 10188 NA NA NA NA NA NA 10090 NA NA NA NA
"2015-11-22" 10188 NA NA NA NA NA NA 10090 NA NA NA NA
"2015-11-23" 10188 NA NA 10940 9700 8194 NA 10090 NA NA NA 24081
"2015-11-24" 10188 NA NA 10768 9500 8156 NA 10090 10639 NA NA 23764
"2015-11-25" 10137 NA 11764 10847 9700 8196 NA 9997 NA 11574 12947 23904
"2015-11-26" 10137 NA NA 10727 9700 8169 NA 9997 NA NA NA 23672
"2015-11-27" 10137 NA 11745 10632 9400 8100 NA 9997 NA NA 12912 23444
"2015-11-28" 10137 NA NA NA NA NA NA 9997 NA NA NA NA
"2015-11-29" 10137 NA NA NA NA NA NA 9997 NA NA NA NA
"2015-11-30" 10137 NA 11597 10525 9400 7986 NA 9997 10385 11333 12797 23238
"2015-12-01" 9798 NA NA 10531 9400 7950 NA 10038 NA NA NA 23238
"2015-12-02" 9739 NA 11613 10596 9300 7963 NA 10038 NA 11382 12807 23412
"2015-12-03" 9739 NA NA 10602 9400 7895 NA 10038 NA NA NA 23426
"2015-12-04" 9739 NA 11651 10548 9300 7912 NA 10038 NA NA 12866 23289
"2015-12-05" 9739 NA NA NA NA NA NA 10038 NA NA NA NA
"2015-12-06" 9739 NA NA NA NA NA NA 10038 NA NA NA NA
"2015-12-07" 9739 NA NA 10456 9300 7818 NA 10038 NA NA NA 23107
"2015-12-08" 9739 NA NA 10688 9300 7862 NA 10038 10332 NA NA 23553
"2015-12-09" 9757 NA 11777 10557 9300 7749 NA 10046 NA 11357 12985 23294
"2015-12-10" 9757 NA NA 10485 9300 7643 NA 10046 NA NA NA 23139
"2015-12-11" 9757 NA 11569 10545 9200 7687 NA 10046 NA NA 12783 23248
"2015-12-12" 9757 NA NA NA NA NA NA 10046 NA NA NA NA
"2015-12-13" 9757 NA NA NA NA NA NA 10046 NA NA NA NA
"2015-12-14" 9757 NA NA 10545 9200 7599 NA 10046 NA NA NA 23253
"2015-12-15" 9757 NA NA 10693 9400 7636 NA 10046 10204 NA NA 23530
"2015-12-16" 9599 NA 11717 10763 9400 7676 NA 10053 NA 11565 12939 23685
"2015-12-17" 9599 NA NA 10840 9400 7721 NA 10053 NA NA NA 23830
"2015-12-18" 9599 NA 11934 10736 9400 7535 NA 10053 NA NA 13124 23607
"2015-12-19" 9599 NA NA NA NA NA NA 10053 NA NA NA NA
"2015-12-20" 9599 NA NA NA NA NA NA 10053 NA NA NA NA
"2015-12-21" 9599 NA NA 10680 9300 7574 NA 10053 NA NA NA 23491
"2015-12-22" 9599 NA NA 10599 9300 7599 NA 10053 10328 NA NA 23346
"2015-12-23" 9585 NA 11709 10550 9200 7519 NA 10077 NA 11372 12905 23257
"2015-12-24" 9585 NA NA 10576 9200 7537 NA 10077 NA NA NA 23286
"2015-12-25" 9585 NA 11703 10549 9300 7507 NA 10077 NA NA 12876 23262
"2015-12-26" 9585 NA NA NA NA NA NA 10077 NA NA NA NA
"2015-12-27" 9585 NA NA NA NA NA NA 10077 NA NA NA NA
"2015-12-28" 9585 NA NA 10591 9300 7479 NA 10077 NA NA NA 23341
"2015-12-29" 9585 NA NA 10697 9500 7583 NA 10077 10190 NA NA 23521
"2015-12-30" 9606 NA 11755 10733 9600 7660 NA 10117 NA 11482 12950 23580
"2015-12-31" 9606 NA 11906 10762 9600 7737 NA 10117 10323 11557 13059 23599
"2016-01-01" 9602 NA NA NA NA NA NA 10118 NA NA NA NA
"2016-01-02" 9602 NA NA NA NA NA NA 10118 NA NA NA NA
"2016-01-03" 9602 NA NA 10761 NA NA NA 10118 NA NA NA 23598
"2016-01-04" 9602 NA NA 10681 9400 7671 NA 10118 NA NA NA 23482
"2016-01-05" 9602 NA NA 10594 9400 7571 NA 10118 10287 NA NA 23323
"2016-01-06" 9454 NA 11719 10662 9300 7602 NA 10203 NA 11454 12911 23461
"2016-01-07" 9454 NA NA 10474 9300 7386 NA 10203 NA NA NA 23081
"2016-01-08" 9454 NA NA 10406 9100 7304 NA 10203 NA NA NA 22910
"2016-01-09" 9454 NA NA NA NA NA NA 10203 NA NA NA NA
"2016-01-10" 9454 NA NA NA NA NA NA 10203 NA NA NA NA
"2016-01-11" 9454 NA NA 10334 9200 7262 NA 10203 NA NA NA 22767
"2016-01-12" 9454 NA NA 10479 9200 7360 NA 10203 10073 NA NA 23119
"2016-01-13" 9295 NA 11512 10448 9200 7347 NA 10180 NA 11194 12744 23050
"2016-01-14" 9295 NA NA 10363 9100 7243 NA 10180 NA NA NA 22845
"2016-01-15" 9295 NA NA 10239 9000 7159 NA 10180 NA NA NA 22593
"2016-01-16" 9295 NA NA NA NA NA NA 10180 NA NA NA NA
"2016-01-17" 9295 NA NA NA NA NA NA 10180 NA NA NA NA
"2016-01-18" 9295 NA NA 10026 8700 6902 NA 10180 NA NA NA 22132
"2016-01-19" 9295 NA NA 10166 8700 7017 NA 10180 9809 NA NA 22423
"2016-01-20" 8842 NA 11180 10095 8800 6962 NA 10181 NA 10757 12444 22275
"2016-01-21" 8842 NA NA 10040 8700 6840 NA 10181 NA NA NA 22139
"2016-01-22" 8842 NA NA 10015 8700 7000 NA 10181 NA NA NA 22094
"2016-01-23" 8842 NA NA NA NA NA NA 10181 NA NA NA NA
"2016-01-24" 8842 NA NA NA NA NA NA 10181 NA NA NA NA
"2016-01-25" 8842 NA NA 10295 8900 7352 NA 10181 NA NA NA 22693
"2016-01-26" 8842 NA NA 10124 8800 7245 NA 10181 10127 NA NA 22337
"2016-01-27" 8904 NA 11215 10214 9000 7369 NA 10183 NA 11019 12468 22535
"2016-01-28" 8904 NA NA 10188 9000 7374 NA 10183 NA NA NA 22483
"2016-01-29" 8904 NA NA 10262 8900 7478 NA 10183 NA NA NA 22614
"2016-01-30" 8904 NA NA NA NA NA NA 10183 NA NA NA NA
"2016-01-31" 8904 NA 11401 10261 NA 7477 NA 10183 10103 11169 12677 22613
"2016-02-01" 9012 NA NA 10205 9000 7411 NA 10177 NA NA NA 22516
"2016-02-02" 9012 NA NA 10162 9000 7344 NA 10177 10109 NA NA 22409
"2016-02-03" 8914 NA 11234 10203 8800 7316 NA 10187 NA 11018 12532 22485
"2016-02-04" 8914 NA NA 10270 8900 7416 NA 10187 NA NA NA 22629
"2016-02-05" 8914 NA NA 10313 9000 7467 NA 10187 NA NA NA 22727
"2016-02-06" 8914 NA NA NA NA NA NA 10187 NA NA NA NA
"2016-02-07" 8914 NA NA NA NA NA NA 10187 NA NA NA NA
"2016-02-08" 8914 NA NA NA NA NA NA 10187 NA NA NA NA
"2016-02-09" 8914 NA NA NA NA 7465 NA 10187 10246 NA NA NA
"2016-02-10" 8914 NA NA NA NA NA NA 10187 NA NA NA NA
"2016-02-11" 8914 NA NA NA NA 7465 NA 10187 NA NA NA NA
"2016-02-12" 8914 NA NA NA NA NA NA 10187 NA NA NA NA
"2016-02-13" 8914 NA NA NA NA NA NA 10187 NA NA NA NA
"2016-02-14" 8914 NA NA 10309 NA NA NA 10187 NA NA NA 22725
"2016-02-15" 8914 NA 11495 10297 8900 7467 NA 10187 NA NA 12757 22740
"2016-02-16" 8914 NA NA 10430 9000 7636 NA 10187 10258 NA NA 22996
"2016-02-17" 9135 NA 11706 10482 9000 7541 NA 10193 NA 11308 12953 23109
"2016-02-18" 9135 NA NA 10571 9000 7611 NA 10193 NA NA NA 23323
"2016-02-19" 9135 NA NA 10573 9000 7554 NA 10193 NA NA NA 23340
"2016-02-20" 9135 NA NA NA NA NA NA 10193 NA NA NA NA
"2016-02-21" 9135 NA NA NA NA NA NA 10193 NA NA NA 23339
"2016-02-22" 9135 NA NA 10659 9100 7638 NA 10193 NA NA NA 23521
"2016-02-23" 9135 NA NA 10623 9100 7614 NA 10193 10576 NA NA 23434
"2016-02-24" 9289 NA 12076 10667 9200 7720 NA 10194 NA 11547 13289 23548
"2016-02-25" 9289 NA NA 10580 9200 7653 NA 10194 NA NA NA 23386
"2016-02-26" 9289 NA NA 10677 9200 7702 NA 10194 NA NA NA 23579
"2016-02-27" 9289 NA NA NA NA NA NA 10194 NA NA NA NA
"2016-02-28" 9289 NA NA 10676 NA NA NA 10194 NA NA NA 23578
"2016-02-29" 9289 NA 12036 10624 9200 7640 NA 10194 10540 11536 13244 23480
"2016-03-01" 9277 NA NA 10692 9200 7675 NA 10194 NA NA NA 23589
"2016-03-02" 9357 NA 12158 10776 9200 7678 NA 10199 NA 11788 13352 23789
"2016-03-03" 9357 NA NA 10781 9300 7681 NA 10199 NA NA NA 23855
"2016-03-04" 9357 NA NA 10872 9200 7733 NA 10199 NA NA NA 24075
"2016-03-05" 9357 NA NA NA NA NA NA 10199 NA NA NA NA
"2016-03-06" 9357 NA NA 10871 NA NA NA 10199 NA NA NA 24074
"2016-03-07" 9357 NA NA 10837 9200 7771 NA 10199 NA NA NA 24059
"2016-03-08" 9357 NA NA 10792 9200 7712 NA 10199 10740 NA NA 23930
"2016-03-09" 9471 NA 12392 10840 9200 7737 NA 10167 NA 11819 13567 23991
"2016-03-10" 9471 NA NA 10918 9200 7817 NA 10167 NA NA NA 24195
"2016-03-11" 9471 NA NA 10974 9300 7833 NA 10167 NA NA NA 24278
"2016-03-12" 9471 NA NA NA NA NA NA 10167 NA NA NA NA
"2016-03-13" 9471 NA NA 10973 NA NA NA 10167 NA NA NA 24277
"2016-03-14" 9471 NA NA 10932 9400 7844 NA 10167 NA NA NA 24159
"2016-03-15" 9471 NA NA 10907 9200 7793 NA 10167 10806 NA NA 24110
"2016-03-16" 9436 NA 12407 10968 9300 7830 NA 10202 NA 12112 13636 24254
"2016-03-17" 9436 NA NA 11017 9300 7907 NA 10202 NA NA NA 24349
"2016-03-18" 9436 NA NA 11013 9300 7911 NA 10202 NA NA NA 24319
"2016-03-19" 9436 NA NA NA NA NA NA 10202 NA NA NA NA
"2016-03-20" 9436 NA NA 11012 NA NA NA 10202 NA NA NA 24318
"2016-03-21" 9436 NA NA 10940 9300 7850 NA 10202 NA NA NA 24152
"2016-03-22" 9436 NA NA 10894 9300 7870 NA 10232 10818 NA NA 24063
"2016-03-23" 9451 NA 12441 10965 9300 7914 NA 10207 NA 12115 13640 24206
"2016-03-24" 9451 NA NA 10958 9200 7852 NA 10207 NA NA NA 24163
"2016-03-25" 9451 NA NA 10911 9200 7770 NA 10207 NA NA NA 24070
"2016-03-26" 9451 NA NA NA NA NA NA 10207 NA NA NA NA
"2016-03-27" 9451 NA NA 10909 NA NA NA 10207 NA NA NA 24069
"2016-03-28" 9451 NA NA 10965 9200 7847 NA 10207 NA NA NA 24206
"2016-03-29" 9451 NA NA 10897 9100 7709 NA 10207 10882 NA NA 24089
"2016-03-30" 9543 NA 12599 10928 9200 7701 NA 10198 NA 12185 13773 24208
"2016-03-31" 9543 NA 12368 10750 9100 7600 NA 10198 10669 12018 13555 23850
"2016-04-01" 9349 NA NA 10700 9100 7523 NA 10200 NA NA NA 23773
"2016-04-02" 9349 NA NA NA NA NA NA 10200 NA NA NA NA
"2016-04-03" 9349 NA NA 10698 NA NA NA 10200 NA NA NA 23772
"2016-04-04" 9349 NA NA 10693 9100 7556 NA 10200 NA NA NA 23759
"2016-04-05" 9349 NA NA 10820 9000 7610 NA 10200 10643 NA NA 24028
"2016-04-06" 9324 NA 12358 10937 9200 7664 NA 10218 NA NA 13562 24257
"2016-04-07" 9324 NA NA 11039 9200 7689 NA 10218 NA 12028 NA 24484
"2016-04-08" 9324 NA NA 11073 9300 7782 NA 10218 NA NA NA 24560
"2016-04-09" 9324 NA NA NA NA NA NA 10218 NA NA NA NA
"2016-04-10" 9324 NA NA 11071 NA NA NA 10218 NA NA NA 24559
"2016-04-11" 9324 NA NA 11166 9300 7827 NA 10218 NA NA NA 24740
"2016-04-12" 9324 NA NA 11181 9300 7804 NA 10218 11010 NA NA 24750
"2016-04-13" 9594 NA 12817 11123 9300 7758 NA 10265 NA NA 13970 24660
"2016-04-14" 9594 NA NA 11146 9400 7759 NA 10265 NA 12187 NA 24689
"2016-04-15" 9594 NA NA 11160 9400 7759 NA 10265 NA NA NA 24713
"2016-04-16" 9594 NA NA NA NA NA NA 10265 NA NA NA NA
"2016-04-17" 9594 NA NA NA NA NA NA 10265 NA NA NA NA
"2016-04-18" 9594 NA NA 11158 NA NA NA 10265 NA NA NA 24712
"2016-04-19" 9594 NA NA 10991 9200 7641 NA 10265 10811 NA NA 24346
"2016-04-20" 9259 NA 12465 10916 9200 7638 NA 10273 NA NA 13687 24220
"2016-04-21" 9259 NA NA 11008 9300 7724 NA 10273 NA 11944 NA 24425
"2016-04-22" 9259 NA NA 11185 9400 7862 NA 10273 NA NA NA 24776
"2016-04-23" 9259 NA NA NA NA NA NA 10273 NA NA NA NA
"2016-04-24" 9259 NA NA 11184 NA NA NA 10273 NA NA NA 24775
"2016-04-25" 9259 NA NA 11152 9500 7803 NA 10273 NA NA NA 24735
"2016-04-26" 9259 NA NA 11201 9500 7787 NA 10273 10793 NA NA 24881
"2016-04-27" 9664 NA 12670 11118 9500 7733 NA 10237 NA NA 13848 24696
"2016-04-28" 9664 NA NA 11107 9400 7767 NA 10237 NA 12161 NA 24701
"2016-04-29" 9664 NA NA 11166 9500 7787 NA 10237 NA NA NA 24844
"2016-04-30" 9664 NA 12613 NA NA 7787 NA 10237 10742 12246 13800 NA
"2016-05-01" 9727 NA NA NA NA NA NA 10260 NA NA NA NA
"2016-05-02" 9727 NA NA NA NA NA NA 10260 NA NA NA NA
"2016-05-03" 9727 NA NA 11163 NA NA NA 10260 10741 NA NA 24843
"2016-05-04" 9727 NA 12610 11239 9500 7775 NA 10260 NA 12423 13799 24978
"2016-05-05" 9725 NA NA 11294 9600 7771 NA 10263 NA NA NA 25141
"2016-05-06" 9725 NA NA 11259 9600 7752 NA 10263 NA NA NA NA
"2016-05-07" 9725 NA NA NA NA NA NA 10263 NA NA NA NA
"2016-05-08" 9725 NA NA 11258 NA NA NA 10263 NA NA NA 25157
"2016-05-09" 9725 NA NA 11252 9600 7765 NA 10263 NA NA NA 25104
"2016-05-10" 9777 NA NA 11246 9500 7740 NA 10277 10736 NA NA 25089
"2016-05-11" 9777 NA 12594 11378 9600 7774 NA 10277 NA 12484 13780 25353
"2016-05-12" 9777 NA NA 11393 9700 7853 NA 10277 NA NA NA 25324
"2016-05-13" 9777 NA NA 11378 9700 7909 NA 10277 NA NA NA 25292
"2016-05-14" 9777 NA NA NA NA NA NA 10277 NA NA NA NA
"2016-05-15" 9777 NA NA 11377 NA NA NA 10277 NA NA NA 25292
"2016-05-16" 9777 NA NA 11425 9700 8014 NA 10277 NA NA NA 25450
"2016-05-17" 9911 NA NA 11546 9800 8107 NA 10334 10719 NA NA 25675
"2016-05-18" 9911 NA 12862 11498 9900 8092 NA 10334 NA 12518 14007 25572
"2016-05-19" 9911 NA NA 11484 9900 7997 NA 10334 NA NA NA 25550
"2016-05-20" 9911 NA NA 11491 9900 7998 NA 10334 NA NA NA 25521
"2016-05-21" 9911 NA NA NA NA NA NA 10334 NA NA NA NA
"2016-05-22" 9911 NA NA 11490 NA NA NA 10334 NA NA NA 25521
"2016-05-23" 9911 NA NA 11434 9800 7939 NA 10334 NA NA NA 25440
"2016-05-24" 9887 NA NA 11418 9700 7955 NA 10265 10702 NA NA 25451
"2016-05-25" 9887 10356 12831 11400 9900 7954 NA 10265 NA 12518 13998 25447
"2016-05-26" 9887 NA NA 11286 9700 7906 NA 10265 NA NA NA 25224
"2016-05-27" 9887 NA NA 11374 9700 7960 NA 10265 NA NA NA NA
"2016-05-28" 9887 NA NA NA NA NA NA 10265 NA NA NA NA
"2016-05-29" 9887 NA NA 11373 NA NA NA 10265 NA NA NA 25455
"2016-05-30" 9887 NA NA 11425 9800 7995 NA NA NA NA NA 25573
"2016-05-31" 9957 NA 13012 11451 9800 8047 NA 10367 10885 12595 14114 25649
"2016-06-01" 10134 NA NA 11478 9800 8045 NA 10366 NA 12620 NA 25699
"2016-06-02" 10134 10390 NA 11571 9800 8088 NA 10366 NA NA NA 25904
"2016-06-03" 10134 NA NA 11591 9900 8141 NA 10366 NA NA NA 25934
"2016-06-04" 10134 NA NA NA NA NA NA 10366 NA NA NA NA
"2016-06-05" 10134 NA NA NA NA NA NA 10366 NA NA NA NA
"2016-06-06" 10134 NA NA 11497 9900 8106 NA 10366 NA NA NA 25739
"2016-06-07" 10221 NA NA 11580 9900 8191 NA 10384 10878 NA NA 25923
"2016-06-08" 10221 NA 13190 11628 10000 8252 NA 10384 NA 12801 14247 26037
"2016-06-09" 10221 10538 NA 11643 10100 8369 NA 10384 NA NA NA 26044
"2016-06-10" 10221 NA NA 11620 10100 8356 NA 10384 NA NA NA 25991
"2016-06-11" 10221 NA NA NA NA NA NA 10384 NA NA NA NA
"2016-06-12" 10221 NA NA 11619 NA NA NA 10384 NA NA NA 25990
"2016-06-13" 10221 NA NA 11556 10000 8281 NA 10384 NA NA NA 25888
"2016-06-14" 10393 NA NA 11594 9900 8289 NA 10387 11031 NA NA 26043
"2016-06-15" 10393 NA 13313 11647 9900 8298 NA 10387 NA 12931 14318 26083
"2016-06-16" 10393 10579 NA 11678 9900 8263 NA 10387 NA NA NA 26052
"2016-06-17" 10393 NA NA 11650 9800 8187 NA 10387 NA NA NA 25910
"2016-06-18" 10393 NA NA NA NA NA NA 10387 NA NA NA NA
"2016-06-19" 10393 NA NA NA NA NA NA 10387 NA NA NA 25909
"2016-06-20" 10393 NA NA 11822 9900 8270 NA 10387 NA NA NA 26347
"2016-06-21" 10632 NA NA 11886 9900 8258 NA 10424 11355 NA NA 26510
"2016-06-22" 10632 NA 13663 11899 9900 8323 NA 10424 NA 13340 14614 26454
"2016-06-23" 10632 10719 NA 12007 9900 8376 NA 10424 NA NA NA 26690
"2016-06-24" 10632 NA NA 11848 9700 8161 NA 10424 NA NA NA 26448
"2016-06-25" 10632 NA NA NA NA NA NA 10424 NA NA NA NA
"2016-06-26" 10632 NA NA 11847 NA NA NA 10424 NA NA NA NA
"2016-06-27" 10632 NA NA 11809 9700 8191 NA 10424 NA NA NA 26437
"2016-06-28" 10536 NA NA 11898 9700 8252 NA 10441 11407 NA NA 26580
"2016-06-29" 10536 NA 13829 12021 9800 8319 NA 10441 NA 13262 14748 26816
"2016-06-30" 10536 10721 14062 12084 9900 8289 NA 10441 11659 13276 14907 26949
"2016-07-01" 10811 NA NA 12190 10100 8331 NA 10442 NA NA NA NA
"2016-07-02" 10811 NA NA NA NA NA NA 10442 NA NA NA NA
"2016-07-03" 10811 NA NA 12188 NA NA NA 10442 NA NA NA 27172
"2016-07-04" 10811 NA NA 12322 10000 8458 NA 10442 NA NA NA 27522
"2016-07-05" 11037 NA NA 12315 10100 8478 NA 10431 11880 NA NA 27517
"2016-07-06" 11037 NA 14264 12350 10100 8616 NA 10431 NA 13657 15084 27593
"2016-07-07" 11037 10850 NA 12615 10200 8816 NA 10431 NA NA NA 28119
"2016-07-08" 11037 NA NA 12643 10200 8758 NA 10431 NA NA NA NA
"2016-07-09" 11037 NA NA NA NA NA NA 10431 NA NA NA NA
"2016-07-10" NA NA NA 12641 NA NA NA 10431 NA NA NA 28173
"2016-07-11" 11037 NA NA 12435 10200 8533 NA 10431 NA NA NA 27785
"2016-07-12" 11067 NA NA 12494 10200 8620 NA 10457 12071 NA NA 27944
"2016-07-13" 11067 NA 14392 12644 10400 8696 NA 10457 NA 13773 15177 28292
"2016-07-14" 11067 11148 NA 12521 10300 8610 NA 10457 NA NA NA 28053
"2016-07-15" 11067 NA NA 12474 10500 8592 NA 10457 NA NA NA 27974
"2016-07-16" 11067 NA NA NA NA NA NA 10457 NA NA NA NA
"2016-07-17" 11067 NA NA 12473 NA NA NA 10457 NA NA NA NA
"2016-07-18" 11067 NA NA 12598 10400 8657 NA 10457 NA NA NA 28230
"2016-07-19" 11239 NA NA 12502 10500 8614 NA 10445 12217 NA NA 28044
"2016-07-20" 11209 NA 14346 12441 10500 8485 NA 10445 NA 13479 15157 27902
"2016-07-21" 11239 11160 NA 12461 10400 8448 NA 10445 NA NA NA 27843
"2016-07-22" 11209 NA NA 12283 10200 8409 NA 10445 NA NA NA NA
"2016-07-23" 11209 NA NA NA NA NA NA 10445 NA NA NA NA
"2016-07-24" 11209 NA NA 12282 NA NA NA 10445 NA NA NA 27543
"2016-07-25" 11209 NA NA 12281 10200 8374 NA 10445 NA NA NA 27476
"2016-07-26" 10839 NA NA 12312 10200 8338 NA 10411 11908 NA NA 27528
"2016-07-27" 10839 NA 14186 12413 10200 8368 NA 10411 NA 13493 15043 27747
"2016-07-28" 10839 11155 NA 12477 10300 8337 NA 10411 NA NA NA 27888
"2016-07-29" 10839 NA NA 12492 10300 8354 NA 10411 NA NA NA 27908
"2016-07-30" NA NA NA NA NA NA NA 10411 NA NA NA NA
"2016-07-31" 10839 NA 14299 12491 NA 8354 NA 10411 12019 13571 15138 27908
"2016-08-01" 10846 NA NA 12407 10200 8318 NA 10458 NA NA NA 27677
"2016-08-02" 10833 NA NA 12236 10100 8153 NA 10463 11898 NA NA 27358
"2016-08-03" 10803 NA 14000 12176 10000 8107 NA 10463 NA 13039 14893 27308
"2016-08-04" 10833 10859 NA 12189 10000 8066 NA 10463 NA NA NA 27330
"2016-08-05" 10833 NA NA 12185 9800 8080 NA 10463 NA NA NA 27342
"2016-08-06" 10833 NA NA NA NA NA NA 10463 NA NA NA NA
"2016-08-07" 10833 NA NA 12184 NA NA NA 10463 NA NA NA 27342
"2016-08-08" 10833 NA NA 12186 9800 8059 NA 10463 NA NA NA 27413
"2016-08-09" 10436 NA NA 12325 9900 8163 NA 10570 11540 NA NA 27662
"2016-08-10" 10436 NA 14127 12453 10000 8241 NA 10570 NA 13507 15027 27923
"2016-08-11" 10436 11053 NA 12601 10100 8404 NA 10570 NA NA NA 28277
"2016-08-12" 10436 NA NA 12556 10300 8435 NA 10570 NA NA NA 28143
"2016-08-13" 10436 NA NA NA NA NA NA 10570 NA NA NA NA
"2016-08-14" 10436 NA NA 12555 NA NA NA 10570 NA NA NA 28143
"2016-08-15" 10436 NA NA 12596 10200 8465 NA 10570 NA NA NA 28273
"2016-08-16" 11036 NA NA 12664 10300 8479 NA 10579 11895 NA NA 28407
"2016-08-17" 11036 NA 14611 12827 10400 8542 NA 10579 NA 14209 15425 28696
"2016-08-18" 11036 11381 NA 12892 10400 8543 NA 10579 NA NA NA 28832
"2016-08-19" 11036 NA NA 12856 10400 8440 NA 10579 NA NA NA 28819
"2016-08-20" NA NA NA NA NA NA NA 10579 NA NA NA NA
"2016-08-21" 11036 NA NA 12855 NA NA NA 10579 NA NA NA 28819
"2016-08-22" 11036 NA NA 12739 10400 8393 NA 10579 NA NA NA 28561
