time,open,high,low,close
2016-04-06T09:00:00+07:00,588.78003,588.78003,588.78003,588.78003
2016-04-07T09:00:00+07:00,591.71997,591.71997,591.71997,591.71997
2016-04-08T09:00:00+07:00,591.40002,591.40002,591.40002,591.40002
2016-04-11T09:00:00+07:00,599.38,599.38,599.38,599.38
2016-04-12T09:00:00+07:00,600.08002,600.08002,600.08002,600.08002
2016-04-13T09:00:00+07:00,597.17999,597.17999,597.17999,597.17999
2016-04-14T09:00:00+07:00,599.39001,599.39001,599.39001,599.39001
2016-04-15T09:00:00+07:00,597.60999,597.60999,597.60999,597.60999
2016-04-19T09:00:00+07:00,587.98999,587.98999,587.98999,587.98999
2016-04-20T09:00:00+07:00,588.60999,588.60999,588.60999,588.60999
2016-04-21T09:00:00+07:00,596.19,596.19,596.19,596.19
2016-04-22T09:00:00+07:00,609.09998,609.09998,609.09998,609.09998
2016-04-25T09:00:00+07:00,607.84998,607.84998,607.84998,607.84998
2016-04-26T09:00:00+07:00,615.12,615.12,615.12,615.12
2016-04-27T09:00:00+07:00,611.19,611.19,611.19,611.19
2016-04-28T09:00:00+07:00,609.34998,609.34998,609.34998,609.34998
2016-04-29T09:00:00+07:00,615.09998,615.09998,615.09998,615.09998
2016-05-04T09:00:00+07:00,616.45001,616.45001,616.45001,616.45001
2016-05-05T09:00:00+07:00,618.62,618.62,618.62,618.62
2016-05-06T09:00:00+07:00,621.54999,621.54999,621.54999,621.54999
2016-05-09T09:00:00+07:00,618.31,618.31,618.31,618.31
2016-05-10T09:00:00+07:00,618.64001,618.64001,618.64001,618.64001
2016-05-11T09:00:00+07:00,626.21002,626.21002,626.21002,626.21002
2016-05-12T09:00:00+07:00,626.28998,626.28998,626.28998,626.28998
2016-05-13T09:00:00+07:00,624.16998,624.16998,624.16998,624.16998
2016-05-16T09:00:00+07:00,629.48999,629.48999,629.48999,629.48999
2016-05-17T09:00:00+07:00,637.42999,637.42999,637.42999,637.42999
2016-05-18T09:00:00+07:00,638.44,638.44,638.44,638.44
2016-05-19T09:00:00+07:00,635.59003,635.59003,635.59003,635.59003
2016-05-20T09:00:00+07:00,630.75,630.75,630.75,630.75
2016-05-23T09:00:00+07:00,629.46002,629.46002,629.46002,629.46002
2016-05-24T09:00:00+07:00,629.63,629.63,629.63,629.63
2016-05-25T09:00:00+07:00,627.70001,627.70001,627.70001,627.70001
