time,close,EMA,EMA,EMA,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label,Histogram
2014-10-06,10400,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2014-10-07,10300,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2014-10-08,10300,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2014-10-09,10200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2014-10-10,9900,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2014-10-13,9900,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2014-10-14,9900,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2014-10-15,9900,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2014-10-16,9600,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2014-10-17,9700,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2014-10-20,9800,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2014-10-21,9900,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2014-10-22,9800,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2014-10-23,9800,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2014-10-24,9700,NaN,NaN,NaN,23.07692307692308,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2014-10-27,9600,NaN,NaN,NaN,21.311475409836063,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2014-10-28,9500,NaN,NaN,NaN,19.689320388349515,NaN,NaN,NaN,19.689320388349515,NaN,NaN,NaN,NaN
2014-10-29,9800,NaN,NaN,NaN,35.54079650897931,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2014-10-30,9700,NaN,NaN,NaN,33.18923127003292,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2014-10-31,9900,NaN,NaN,9880,41.52280171748513,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2014-11-03,10100,NaN,NaN,9900.952380952382,48.44775584970148,NaN,NaN,NaN,NaN,NaN,48.44775584970148,NaN,NaN
2014-11-04,10100,NaN,NaN,9919.909297052154,48.44775584970147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2014-11-05,10000,NaN,NaN,9927.536983047186,45.334609116622445,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2014-11-06,9800,NaN,NaN,9915.390603709358,39.82304270754207,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2014-11-07,9800,NaN,NaN,9904.401022403705,39.82304270754207,NaN,NaN,NaN,39.82304270754207,NaN,NaN,NaN,NaN
2014-11-10,9900,NaN,NaN,9903.981877412876,43.78608215115151,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2014-11-11,10000,NaN,NaN,9913.126460516412,47.50887390406271,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2014-11-12,9900,NaN,NaN,9911.876321419611,44.346121364764095,37.98913085876385,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2014-11-13,10000,NaN,NaN,9920.269052712982,48.06918371270219,39.77429233274807,NaN,NaN,NaN,NaN,48.06918371270219,NaN,NaN
2014-11-14,9900,NaN,NaN,9918.338666740317,44.83887337079971,41.45482075853119,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2014-11-17,9900,NaN,NaN,9916.592127050764,44.83887337079971,43.25121740013477,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2014-11-18,9900,NaN,NaN,9915.0119244745,44.83887337079971,43.915365747407655,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2014-11-19,9800,NaN,NaN,9904.058407857881,41.366839951409254,44.49948065322025,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2014-11-20,9900,NaN,NaN,9903.671892823797,45.87991310757388,44.81070289536945,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2014-11-21,9600,NaN,NaN,9874.75076017391,36.7428293498684,43.97463671680994,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2014-11-24,9500,NaN,NaN,9839.06021158592,34.29132475694668,42.96346306732746,NaN,NaN,34.29132475694668,NaN,NaN,NaN,NaN
2014-11-25,9700,NaN,NaN,9825.81638191107,42.54758017405685,42.76438957142992,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2014-11-26,9500,NaN,NaN,9794.786250300493,37.4764625673482,42.59677670427322,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2014-11-27,9500,NaN,NaN,9766.711369319493,37.4764625673482,42.42916383711651,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2014-11-28,9500,NaN,NaN,9741.310286527161,37.4764625673482,41.978476723987704,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2014-12-01,9700,NaN,NaN,9737.375973524575,45.57783636850789,41.84054547144808,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2014-12-02,9500,NaN,NaN,9714.768737950806,39.99668489277908,41.52987143773486,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2014-12-03,9600,NaN,NaN,9703.838381955491,43.70834989618095,41.218383307983345,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2014-12-04,9700,NaN,NaN,9703.472821769254,47.22406857910302,41.38875439429072,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2014-12-05,9700,NaN,NaN,9703.142076838849,47.22406857910302,41.5591254805981,NaN,NaN,NaN,NaN,47.22406857910302,NaN,NaN
2014-12-08,9600,NaN,NaN,9693.319021901816,44.034495691647955,41.50166993208727,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2014-12-09,9400,NaN,NaN,9665.383876958786,38.44217845687786,41.29276553962074,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2014-12-10,9500,NaN,NaN,9649.63303153414,42.382297957253826,41.04293588602645,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2014-12-11,9500,NaN,NaN,9635.382266626128,42.38229795725381,41.44575507226826,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2014-12-12,9500,NaN,9792,9622.48871742364,42.382297957253805,42.023681729433065,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2014-12-15,9500,NaN,9780.549019607843,9610.823125288054,42.382297957253805,42.01187585680428,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2014-12-16,9300,NaN,9761.703960015378,9581.220922879667,36.15666825843424,41.917604834738995,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2014-12-17,8900,NaN,9727.911647857913,9516.34273974827,27.466673280422896,41.2026198856729,NaN,NaN,27.466673280422896,NaN,NaN,NaN,NaN
2014-12-18,9000,NaN,9699.366093039955,9467.167240724626,31.87489087757571,40.80250762211772,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2014-12-19,9000,NaN,9671.93997174427,9422.675122560377,31.874890877575695,39.823725801336856,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2014-12-22,9200,NaN,9653.432521871946,9401.467968030816,40.29190413161937,39.84481288982545,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2014-12-23,9100,NaN,9631.729285720105,9372.756732980262,37.77856580205317,39.42125688310204,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2014-12-24,9100,NaN,9610.877156868335,9346.779901267857,37.778565802053166,38.74657811331276,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2014-12-25,9100,NaN,9590.842758559773,9323.277053528062,37.778565802053166,38.07189934352348,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2014-12-26,9200,NaN,9575.515591557429,9311.536381763484,42.275796454296405,37.94627796942694,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2014-12-29,9200,NaN,9560.789489927725,9300.91386921458,42.275796454296405,38.22010782638541,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2014-12-30,9300,NaN,9550.562451107031,9300.826834051288,46.740300522488624,38.531393723902184,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2014-12-31,9400,NaN,9544.658041259696,9310.271897474975,50.83529564603882,39.135179273101116,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2015-01-05,9400,NaN,9538.985176896571,9318.817431048787,50.83529564603882,39.73896482230004,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2015-01-06,9400,NaN,9533.534777802588,9326.549104282236,50.83529564603882,40.34275037149898,NaN,NaN,NaN,NaN,NaN,NaN,NaN
