,time,open,high,low,close,volume,ticker
0,2022-09-29,10000,10000,9500,10000,98900,FUEDCMID
1,2022-09-30,9720,10000,9390,10000,144900,FUEDCMID
2,2022-10-03,10000,10000,9300,9500,59700,FUEDCMID
3,2022-10-04,9370,9370,8840,8840,76500,FUEDCMID
4,2022-10-05,8970,9120,8950,9120,13400,FUEDCMID
5,2022-10-06,9130,9130,8780,8780,48400,FUEDCMID
6,2022-10-07,8490,8490,8220,8220,42700,FUEDCMID
7,2022-10-10,7810,8420,7810,8400,9400,FUEDCMID
8,2022-10-11,8380,8380,8100,8100,19200,FUEDCMID
9,2022-10-12,8100,8350,8050,8250,11400,FUEDCMID
10,2022-10-13,8200,8500,8160,8500,417100,FUEDCMID
11,2022-10-14,8770,8770,8450,8600,6700,FUEDCMID
12,2022-10-17,8530,8560,8480,8510,10800,FUEDCMID
13,2022-10-18,8800,8880,8800,8820,276100,FUEDCMID
14,2022-10-19,8770,8790,8710,8750,182600,FUEDCMID
15,2022-10-20,8700,8780,8700,8720,91300,FUEDCMID
16,2022-10-21,8620,8620,8250,8400,348200,FUEDCMID
17,2022-10-24,8980,8980,7820,7840,366700,FUEDCMID
18,2022-10-25,8380,8380,7790,7860,344900,FUEDCMID
19,2022-10-26,8020,8039,7800,7860,226000,FUEDCMID
20,2022-10-27,7930,8200,7730,8200,238400,FUEDCMID
21,2022-10-28,8220,8370,8220,8220,231600,FUEDCMID
22,2022-10-31,8220,8450,8020,8450,217100,FUEDCMID
23,2022-11-01,8430,8430,8140,8160,102800,FUEDCMID
24,2022-11-02,8070,8280,8060,8150,104400,FUEDCMID
25,2022-11-03,8020,8250,8020,8250,101800,FUEDCMID
26,2022-11-04,8000,8000,7800,7990,133300,FUEDCMID
27,2022-11-07,7900,7920,7510,7760,114200,FUEDCMID
28,2022-11-08,7500,7820,7450,7820,116800,FUEDCMID
29,2022-11-09,7820,7820,7590,7790,117700,FUEDCMID
30,2022-11-10,7480,7480,7250,7250,133100,FUEDCMID
31,2022-11-11,7330,7350,7240,7240,3200,FUEDCMID
32,2022-11-14,7010,7200,6900,6910,13500,FUEDCMID
33,2022-11-15,6910,6910,6500,6590,20500,FUEDCMID
34,2022-11-16,6550,6930,6350,6910,8400,FUEDCMID
35,2022-11-17,6990,7050,6940,7000,25700,FUEDCMID
36,2022-11-18,7140,7200,7000,7200,22900,FUEDCMID
37,2022-11-21,7480,7480,7100,7120,3500,FUEDCMID
38,2022-11-22,7100,7440,7100,7180,8000,FUEDCMID
39,2022-11-23,7080,7170,7070,7070,700,FUEDCMID
40,2022-11-24,7000,7000,7000,7000,200,FUEDCMID
41,2022-11-25,7210,7350,7180,7350,8100,FUEDCMID
