date,price,returns,first_trading_day,units_purchased,total_units,total_cash,total_value,profit,profit_pct,label_txt
2018-01-02,16410,0,TRUE,182.81535648994515,182.81535648994515,3000000,3000000,0,0,NA
2018-01-03,16650,0.014625228519195677,FALSE,0,182.81535648994515,3000000,3043875.6855575866,43875.68555758661,0.014625228519195455,NA
2018-01-04,16750,0.006006006006006093,FALSE,0,182.81535648994515,3000000,3062157.221206581,62157.22120658122,0.02071907373552717,NA
2018-01-05,16710,-0.002388059701492584,FALSE,0,182.81535648994515,3000000,3054844.6069469834,54844.606946983375,0.018281535648994485,NA
2018-01-08,16980,0.016157989228007263,FALSE,0,182.81535648994515,3000000,3104204.7531992686,104204.7531992686,0.034734917733089565,NA
2018-01-09,17160,0.010600706713780994,FALSE,0,182.81535648994515,3000000,3137111.517367459,137111.5173674589,0.04570383912248621,NA
2018-01-10,17090,-0.004079254079254024,FALSE,0,182.81535648994515,3000000,3124314.4424131624,124314.44241316244,0.04143814747105412,NA
2018-01-11,17350,0.015213575190169637,FALSE,0,182.81535648994515,3000000,3171846.4351005484,171846.43510054844,0.05728214503351614,NA
2018-01-12,17450,0.0057636887608070175,FALSE,0,182.81535648994515,3000000,3190127.9707495426,190127.97074954258,0.06337599024984764,NA
2018-01-15,17600,0.008595988538681931,FALSE,0,182.81535648994515,3000000,3217550.2742230347,217550.27422303474,0.07251675807434488,NA
2018-01-16,17580,-0.001136363636363602,FALSE,0,182.81535648994515,3000000,3213893.967093236,213893.9670932358,0.07129798903107853,NA
2018-01-17,17250,-0.018771331058020424,FALSE,0,182.81535648994515,3000000,3153564.899451554,153564.89945155382,0.051188299817184646,NA
2018-01-18,17250,0,FALSE,0,182.81535648994515,3000000,3153564.899451554,153564.89945155382,0.051188299817184646,NA
2018-01-19,17550,0.017391304347825987,FALSE,0,182.81535648994515,3000000,3208409.506398537,208409.5063985372,0.06946983546617913,NA
2018-01-22,17850,0.017094017094017033,FALSE,0,182.81535648994515,3000000,3263254.113345521,263254.11334552104,0.08775137111517362,NA
2018-01-25,18500,0.036414565826330625,FALSE,0,182.81535648994515,3000000,3382084.0950639853,382084.0950639853,0.12736136502132833,NA
2018-01-26,18150,-0.018918918918918948,FALSE,0,182.81535648994515,3000000,3318098.7202925044,318098.7202925044,0.1060329067641681,NA
2018-01-29,18010,-0.007713498622589521,FALSE,0,182.81535648994515,3000000,3292504.570383912,292504.57038391195,0.09750152346130392,NA
2018-01-30,18000,-5.552470849528035e-4,FALSE,0,182.81535648994515,3000000,3290676.4168190127,290676.4168190127,0.09689213893967086,NA
2018-01-31,18000,0,FALSE,0,182.81535648994515,3000000,3290676.4168190127,290676.4168190127,0.09689213893967086,NA
2018-02-01,17800,-0.011111111111111072,TRUE,168.53932584269663,351.3546823326418,6000000,6254113.345521024,254113.34552102443,0.042352224253504156,NA
2018-02-02,17900,0.00561797752808979,FALSE,0,351.3546823326418,6000000,6289248.8137542885,289248.8137542885,0.04820813562571469,NA
2018-02-05,16910,-0.05530726256983243,FALSE,0,351.3546823326418,6000000,5941407.678244973,-58592.3217550274,-0.009765386959171285,NA
2018-02-06,16440,-0.02779420461265525,FALSE,0,351.3546823326418,6000000,5776270.977548631,-223729.0224513691,-0.03728817040856147,NA
2018-02-07,16940,0.03041362530413627,FALSE,0,351.3546823326418,6000000,5951948.318714952,-48051.681285047904,-0.008008613547508037,NA
2018-02-08,16650,-0.017119244391971655,FALSE,0,351.3546823326418,6000000,5850055.460838486,-149944.53916151356,-0.024990756526918956,NA
2018-02-09,16350,-0.018018018018018056,FALSE,0,351.3546823326418,6000000,5744649.056138693,-255350.94386130664,-0.042558490643551106,NA
2018-02-12,17000,0.039755351681957096,FALSE,0,351.3546823326418,6000000,5973029.59965491,-26970.400345089845,-0.004495066724181651,NA
