date,ETF
2015-05-06,8.9
2015-05-07,9
2015-05-08,8.9
2015-05-11,9
2015-05-12,8.8
2015-05-13,8.8
2015-05-14,8.9
2015-05-15,8.7
2015-05-18,8.7
2015-05-19,8.7
2015-05-20,8.8
2015-05-21,8.8
2015-05-22,9.1
2015-05-25,9
2015-05-26,9.1
2015-05-27,9.1
2015-05-28,9.1
2015-05-29,9.1
2015-06-01,9.1
2015-06-02,9.1
2015-06-03,9
2015-06-04,9
2015-06-05,9.1
2015-06-08,9.1
2015-06-09,9.1
2015-06-10,9
2015-06-11,9.2
2015-06-12,9.2
2015-06-15,9.3
2015-06-16,9.3
2015-06-17,9.2
2015-06-18,9.2
2015-06-19,9.3
2015-06-22,9.4
2015-06-23,9.4
2015-06-24,9.4
2015-06-25,9.4
2015-06-26,9.5
2015-06-29,9.6
2015-06-30,9.7
2015-07-01,9.6
2015-07-02,9.7
2015-07-03,9.8
2015-07-06,10.1
2015-07-07,10
2015-07-08,10
2015-07-09,10
2015-07-10,10.1
2015-07-13,10
2015-07-14,10.1
2015-07-15,10.1
2015-07-16,10.1
2015-07-17,10.1
2015-07-20,10
2015-07-21,10
2015-07-22,10.1
2015-07-23,10.1
2015-07-24,10.1
2015-07-27,10.2
2015-07-28,10.3
2015-07-29,10.3
2015-07-30,10.3
2015-07-31,10.3
2015-08-03,10.1
2015-08-04,10
2015-08-05,10
2015-08-06,10
2015-08-07,10
2015-08-10,10.2
2015-08-11,10.1
2015-08-12,10.1
2015-08-13,9.9
2015-08-14,9.9
2015-08-17,9.7
2015-08-18,9.6
2015-08-19,9.5
2015-08-20,9.5
2015-08-21,9.3
2015-08-24,8.9
2015-08-25,8.9
2015-08-26,9.1
2015-08-27,9.3
2015-08-28,9.9
2015-08-31,9.4
2015-09-01,9.3
2015-09-03,9.1
2015-09-04,9.1
2015-09-07,9.1
2015-09-08,9.3
2015-09-09,9.3
2015-09-10,9.3
2015-09-11,9.2
2015-09-14,9.3
2015-09-15,9.1
2015-09-16,9.1
2015-09-17,9.2
2015-09-18,9.3
2015-09-21,9.4
2015-09-22,9.4
2015-09-23,9.4
2015-09-24,9.3
2015-09-25,9.3
2015-09-28,9.3
2015-09-29,9.2
2015-09-30,9.5
2015-10-01,9.3
2015-10-02,9.3
2015-10-05,9.3
2015-10-06,9.4
2015-10-07,9.4
2015-10-08,9.6
2015-10-09,9.6
2015-10-12,9.7
2015-10-13,9.6
2015-10-14,9.5
2015-10-15,9.5
2015-10-16,9.6
2015-10-19,9.7
2015-10-20,9.6
2015-10-21,9.7
2015-10-22,9.7
2015-10-23,9.8
2015-10-26,9.8
2015-10-27,9.7
2015-10-28,9.7
2015-10-29,9.8
2015-10-30,9.8
2015-11-02,9.7
2015-11-03,9.9
2015-11-04,9.9
2015-11-05,9.9
2015-11-06,9.9
2015-11-09,9.9
2015-11-10,9.9
2015-11-11,9.8
2015-11-12,9.7
2015-11-13,9.8
2015-11-16,9.9
2015-11-17,9.8
2015-11-18,9.8
2015-11-19,9.7
2015-11-20,9.7
2015-11-23,9.7
2015-11-24,9.5
2015-11-25,9.7
2015-11-26,9.7
2015-11-27,9.4
2015-11-30,9.4
2015-12-01,9.4
2015-12-02,9.3
2015-12-03,9.4
2015-12-04,9.3
2015-12-07,9.3
2015-12-08,9.3
2015-12-09,9.3
2015-12-10,9.3
2015-12-11,9.2
2015-12-14,9.2
2015-12-15,9.4
2015-12-16,9.4
2015-12-17,9.4
2015-12-18,9.4
2015-12-21,9.3
2015-12-22,9.3
2015-12-23,9.2
2015-12-24,9.2
2015-12-25,9.3
2015-12-28,9.3
2015-12-29,9.5
2015-12-30,9.6
2015-12-31,9.6
2016-01-04,9.4
2016-01-05,9.4
2016-01-06,9.3
2016-01-07,9.3
2016-01-08,9.1
2016-01-11,9.2
2016-01-12,9.2
2016-01-13,9.2
2016-01-14,9.1
2016-01-15,9
2016-01-18,8.7
2016-01-19,8.7
2016-01-20,8.8
2016-01-21,8.7
2016-01-22,8.7
2016-01-25,8.9
2016-01-26,8.8
2016-01-27,9
2016-01-28,9
2016-01-29,8.9
2016-02-01,9
2016-02-02,9
2016-02-03,8.8
2016-02-04,8.9
2016-02-05,9
2016-02-15,8.9
2016-02-16,9
2016-02-17,9
2016-02-18,9
2016-02-19,9
2016-02-22,9.1
2016-02-23,9.1
2016-02-24,9.2
2016-02-25,9.2
2016-02-26,9.2
2016-02-29,9.2
2016-03-01,9.2
2016-03-02,9.2
2016-03-03,9.3
2016-03-04,9.2
2016-03-07,9.2
2016-03-08,9.2
2016-03-09,9.2
2016-03-10,9.2
2016-03-11,9.3
2016-03-14,9.4
2016-03-15,9.2
2016-03-16,9.3
2016-03-17,9.3
2016-03-18,9.3
2016-03-21,9.3
2016-03-22,9.3
2016-03-23,9.3
2016-03-24,9.2
2016-03-25,9.2
2016-03-28,9.2
2016-03-29,9.1
2016-03-30,9.2
2016-03-31,9.1
2016-04-01,9.1
2016-04-04,9.1
2016-04-05,9
2016-04-06,9.2
2016-04-07,9.2
2016-04-08,9.3
2016-04-11,9.3
2016-04-12,9.3
2016-04-13,9.3
2016-04-14,9.4
2016-04-15,9.4
2016-04-19,9.2
2016-04-20,9.2
2016-04-21,9.3
2016-04-22,9.4
2016-04-25,9.5
2016-04-26,9.5
2016-04-27,9.5
2016-04-28,9.4
2016-04-29,9.5
2016-05-04,9.5
2016-05-05,9.6
2016-05-06,9.6
2016-05-09,9.6
2016-05-10,9.5
2016-05-11,9.6
2016-05-12,9.7
2016-05-13,9.7
2016-05-16,9.7
2016-05-17,9.8
2016-05-18,9.9
2016-05-19,9.9
2016-05-20,9.9
2016-05-23,9.8
2016-05-24,9.7
2016-05-25,9.9
2016-05-26,9.7
2016-05-27,9.7
2016-05-30,9.8
2016-05-31,9.8
2016-06-01,9.8
2016-06-02,9.8
2016-06-03,9.9
2016-06-06,9.9
2016-06-07,9.9
2016-06-08,10
2016-06-09,10.1
2016-06-10,10.1
2016-06-13,10
2016-06-14,9.9
2016-06-15,9.9
2016-06-16,9.9
2016-06-17,9.8
2016-06-20,9.9
2016-06-21,9.9
2016-06-22,9.9
2016-06-23,9.9
2016-06-24,9.7
2016-06-27,9.7
2016-06-28,9.7
2016-06-29,9.8
2016-06-30,9.9
2016-07-01,10.1
2016-07-04,10
2016-07-05,10.1
2016-07-06,10.1
2016-07-07,10.2
2016-07-08,10.2
2016-07-11,10.2
2016-07-12,10.2
2016-07-13,10.4
2016-07-14,10.3
2016-07-15,10.5
2016-07-18,10.4
2016-07-19,10.5
2016-07-20,10.5
2016-07-21,10.4
2016-07-22,10.2
2016-07-25,10.2
2016-07-26,10.2
2016-07-27,10.2
2016-07-28,10.3
2016-07-29,10.3
2016-08-01,10.2
2016-08-02,10.1
2016-08-03,10
2016-08-04,10
2016-08-05,9.8
2016-08-08,9.8
2016-08-09,9.9
2016-08-10,10
2016-08-11,10.1
2016-08-12,10.3
2016-08-15,10.2
2016-08-16,10.3
2016-08-17,10.4
2016-08-18,10.4
2016-08-19,10.4
2016-08-22,10.4
2016-08-23,10.4
2016-08-24,10.4
2016-08-25,10.4
2016-08-26,10.5
2016-08-29,10.6
2016-08-30,10.6
2016-08-31,10.6
2016-09-01,10.6
2016-09-05,10.6
2016-09-06,10.6
2016-09-07,10.5
2016-09-08,10.6
2016-09-09,10.6
2016-09-12,10.5
2016-09-13,10.5
2016-09-14,10.58
2016-09-15,10.46
2016-09-16,10.46
2016-09-19,10.4
2016-09-20,10.4
2016-09-21,10.6
2016-09-22,10.75
2016-09-23,10.75
2016-09-26,10.79
2016-09-27,10.72
2016-09-28,10.88
2016-09-29,10.84
2016-09-30,10.86
2016-10-03,10.8
2016-10-04,10.7
2016-10-05,10.7
2016-10-06,10.77
2016-10-07,10.64
2016-10-10,10.6
2016-10-11,10.56
2016-10-12,10.56
2016-10-13,10.6
2016-10-14,10.66
2016-10-17,10.59
2016-10-18,10.64
2016-10-19,10.6
2016-10-20,10.6
2016-10-21,10.64
2016-10-24,10.64
2016-10-25,10.45
2016-10-26,10.39
2016-10-27,10.39
2016-10-28,10.39
2016-10-31,10.52
2016-11-01,10.4
2016-11-02,10.38
2016-11-03,10.21
2016-11-04,10.2
2016-11-07,10.3
2016-11-08,10.4
2016-11-09,10.2
2016-11-10,10.31
2016-11-11,10.31
2016-11-14,10.31
2016-11-15,10.31
2016-11-16,10.3
2016-11-17,10.3
2016-11-18,10.3
2016-11-21,10.3
2016-11-22,10.3
2016-11-23,10.3
2016-11-24,10.5
2016-11-25,10.45
2016-11-28,10.24
2016-11-29,10.18
2016-11-30,10.13
2016-12-01,10.26
2016-12-02,10.19
2016-12-05,10.15
2016-12-06,9.99
2016-12-07,9.97
2016-12-08,10.01
2016-12-09,10.05
2016-12-12,9.98
2016-12-13,9.9
2016-12-14,9.85
2016-12-15,9.9
2016-12-16,9.9
2016-12-19,10.11
2016-12-20,10.05
2016-12-21,10.05
2016-12-22,10.04
2016-12-23,10
2016-12-26,10.06
2016-12-27,10.09
2016-12-28,10.08
2016-12-29,10.12
2016-12-30,10.17
2017-01-03,10.19
2017-01-04,10.25
2017-01-05,10.29
2017-01-06,10.35
2017-01-09,10.37
2017-01-10,10.37
2017-01-11,10.43
2017-01-12,10.43
2017-01-13,10.41
2017-01-16,10.34
2017-01-17,10.34
2017-01-18,10.36
2017-01-19,10.36
2017-01-20,10.36
2017-01-23,10.36
2017-01-24,10.41
2017-01-25,10.45
2017-02-02,10.52
2017-02-03,10.61
2017-02-06,10.6
2017-02-07,10.65
2017-02-08,10.67
2017-02-09,10.7
2017-02-10,10.73
2017-02-13,10.76
2017-02-14,10.76
2017-02-15,10.84
2017-02-16,10.9
2017-02-17,10.89
2017-02-20,10.8
2017-02-21,10.92
2017-02-22,10.9
2017-02-23,10.86
2017-02-24,10.87
2017-02-27,10.82
2017-02-28,10.82
2017-03-01,10.7
2017-03-02,10.72
2017-03-03,10.69
2017-03-06,10.74
2017-03-07,10.75
2017-03-08,10.79
2017-03-09,10.83
2017-03-10,10.86
2017-03-13,10.86
2017-03-14,10.89
2017-03-15,10.85
2017-03-16,10.85
2017-03-17,10.9
2017-03-20,11
2017-03-21,11.03
2017-03-22,11.08
2017-03-23,11.18
2017-03-24,11.32
2017-03-27,11.29
2017-03-28,11.25
2017-03-29,11.32
2017-03-30,11.32
2017-03-31,11.3
2017-04-03,11.34
2017-04-04,11.37
2017-04-05,11.36
2017-04-07,11.29
2017-04-10,11.4
2017-04-11,11.39
2017-04-12,11.38
2017-04-13,11.34
2017-04-14,11.14
2017-04-17,11
2017-04-18,10.96
2017-04-19,11.08
2017-04-20,11.04
2017-04-21,11.03
2017-04-24,10.95
2017-04-25,10.92
2017-04-26,10.99
2017-04-27,11.14
2017-04-28,11.14
2017-05-03,11.18
2017-05-04,11.21
2017-05-05,11.23
2017-05-08,11.19
2017-05-09,11.24
2017-05-10,11.35
2017-05-11,11.32
2017-05-12,11.3
2017-05-15,11.37
2017-05-16,11.41
2017-05-17,11.38
2017-05-18,11.4
2017-05-19,11.46
2017-05-22,11.6
2017-05-23,11.61
2017-05-24,11.78
2017-05-25,11.7
2017-05-26,11.77
2017-05-29,11.85
2017-05-30,11.83
2017-05-31,11.61
2017-06-01,11.79
2017-06-02,11.78
2017-06-05,11.84
2017-06-06,11.91
2017-06-07,12.1
2017-06-08,12.04
2017-06-09,12.13
2017-06-12,12.09
2017-06-13,12.14
2017-06-14,12.24
2017-06-15,12.26
2017-06-16,12.3
2017-06-19,12.37
2017-06-20,12.46
2017-06-21,12.37
2017-06-22,12.45
2017-06-23,12.37
2017-06-26,12.45
2017-06-27,12.39
2017-06-28,12.36
2017-06-29,12.49
2017-06-30,12.56
2017-07-03,12.63
2017-07-04,12.57
2017-07-05,13.4
2017-07-06,12.65
2017-07-07,12.6
2017-07-10,12.3
2017-07-11,12.38
2017-07-12,12.44
2017-07-13,12.44
2017-07-14,12.47
2017-07-17,12.27
2017-07-18,12.02
2017-07-19,12.14
2017-07-20,12.11
2017-07-21,12.04
2017-07-24,12.03
2017-07-25,12
2017-07-26,12.14
2017-07-27,12.14
2017-07-28,12.27
2017-07-31,12.35
2017-08-01,12.44
2017-08-02,12.43
2017-08-03,12.36
2017-08-04,12.38
2017-08-07,12.49
2017-08-08,12.43
2017-08-09,12.3
2017-08-10,12.2
2017-08-11,12.19
2017-08-14,12.25
2017-08-15,12.22
2017-08-16,12.27
2017-08-17,12.22
2017-08-18,12.22
2017-08-21,12.18
2017-08-22,12.17
2017-08-23,12.12
2017-08-24,12.29
2017-08-25,12.26
2017-08-28,12.39
2017-08-29,12.39
2017-08-30,12.46
2017-08-31,12.63
2017-09-01,12.69
2017-09-05,12.73
2017-09-06,12.75
2017-09-07,12.82
2017-09-08,12.8
2017-09-11,12.82
2017-09-12,12.81
2017-09-13,12.82
2017-09-14,13.04
2017-09-15,13.02
2017-09-18,13.06
2017-09-19,13.12
2017-09-20,13.04
2017-09-21,12.96
2017-09-22,12.95
2017-09-25,13
2017-09-26,13
2017-09-27,12.95
2017-09-28,13.06
2017-09-29,13
2017-10-02,12.96
2017-10-03,12.9
2017-10-04,13.05
2017-10-05,13.11
2017-10-06,13.15
2017-10-09,13.2
2017-10-10,13.25
2017-10-11,13.31
2017-10-12,13.4
2017-10-13,13.42
2017-10-16,13.42
2017-10-17,13.46
2017-10-18,13.46
2017-10-19,13.48
2017-10-20,13.4
2017-10-23,13.35
2017-10-24,13.41
2017-10-25,13.56
2017-10-26,13.52
2017-10-27,13.72
2017-10-30,13.84
2017-10-31,13.78
2017-11-01,13.75
2017-11-02,13.71
2017-11-03,13.71
2017-11-06,13.86
2017-11-07,13.96
2017-11-08,14.13
2017-11-09,14.02
2017-11-10,14.15
2017-11-13,14.22
2017-11-14,14.33
2017-11-15,14.57
2017-11-16,14.61
2017-11-17,14.65
2017-11-20,14.82
2017-11-21,15.06
2017-11-22,15.25
2017-11-23,15.3
2017-11-24,15.31
2017-11-27,15.3
2017-11-28,15.34
2017-11-29,15.49
2017-11-30,15.64
2017-12-01,15.73
2017-12-04,15.99
2017-12-05,15.65
2017-12-06,15.28
2017-12-07,15.42
2017-12-08,15.43
2017-12-11,15.33
2017-12-12,15.28
2017-12-13,15.13
2017-12-14,15.36
2017-12-15,15.43
2017-12-18,15.71
2017-12-19,15.74
2017-12-20,15.74
2017-12-21,15.71
2017-12-22,15.65
2017-12-25,15.73
2017-12-26,15.85
2017-12-27,15.86
2017-12-28,16.04
2017-12-29,16.18
2018-01-02,16.41
2018-01-03,16.65
2018-01-04,16.75
2018-01-05,16.71
2018-01-08,16.98
2018-01-09,17.16
2018-01-10,17.09
2018-01-11,17.35
2018-01-12,17.45
2018-01-15,17.6
2018-01-16,17.58
2018-01-17,17.25
2018-01-18,17.25
2018-01-19,17.55
2018-01-22,17.85
2018-01-25,18.5
2018-01-26,18.15
2018-01-29,18.01
2018-01-30,18
2018-01-31,18
2018-02-01,17.8
2018-02-02,17.9
2018-02-05,16.91
2018-02-06,16.44
2018-02-07,16.94
2018-02-08,16.65
2018-02-09,16.35
2018-02-12,17
2018-02-13,17.33
2018-02-21,17.67
2018-02-22,17.45
2018-02-23,17.9
2018-02-26,18
2018-02-27,18
2018-02-28,18
2018-03-01,18.15
2018-03-02,18.24
2018-03-05,17.9
2018-03-06,17.9
2018-03-07,17.7
2018-03-08,18.1
2018-03-09,18.17
2018-03-12,18
2018-03-13,18.1
2018-03-14,18.3
2018-03-15,18.21
2018-03-16,18.3
2018-03-19,18.55
2018-03-20,18.65
2018-03-21,18.78
2018-03-22,18.91
2018-03-23,18.7
2018-03-26,18.76
2018-03-27,18.95
2018-03-28,18.9
2018-03-29,18.75
2018-03-30,18.88
2018-04-02,19.1
2018-04-03,18.96
2018-04-04,19.1
2018-04-05,19.2
2018-04-06,19
2018-04-09,19.3
2018-04-10,19.05
2018-04-11,18.7
2018-04-12,18.72
2018-04-13,18.6
2018-04-16,18.5
2018-04-17,18.55
2018-04-18,18.3
2018-04-19,18.2
2018-04-20,17.8
2018-04-23,17.4
2018-04-24,17.3
2018-04-26,16.7
2018-04-27,16.6
2018-05-02,16.4
2018-05-03,16.49
2018-05-04,16.52
2018-05-07,17.2
2018-05-08,17.17
2018-05-09,17.1
2018-05-10,17
2018-05-11,16.8
2018-05-14,17.29
2018-05-15,17.3
2018-05-16,16.99
2018-05-17,16.65
2018-05-18,16.7
2018-05-21,16.4
2018-05-22,15.63
2018-05-23,15.9
2018-05-24,15.6
2018-05-25,15.4
2018-05-28,14.8
2018-05-29,15.1
2018-05-30,15
2018-05-31,15.8
2018-06-01,16.04
2018-06-04,16.34
2018-06-05,16.45
2018-06-06,16.73
2018-06-07,16.8
2018-06-08,16.78
2018-06-11,16.86
2018-06-12,16.6
2018-06-13,16.75
2018-06-14,16.31
2018-06-15,16.54
2018-06-18,16
2018-06-19,15.11
2018-06-20,16
2018-06-21,15.56
2018-06-22,15.99
2018-06-25,16.14
2018-06-26,15.93
2018-06-27,15.8
2018-06-28,15.49
2018-06-29,15.58
2018-07-02,15.33
2018-07-03,14.8
2018-07-04,14.99
2018-07-05,14.52
2018-07-06,14.9
2018-07-09,14.82
2018-07-10,14.82
2018-07-11,14.46
2018-07-12,14.51
2018-07-13,14.85
2018-07-16,14.9
2018-07-17,14.95
2018-07-18,15.4
2018-07-19,15.41
2018-07-20,15.53
2018-07-23,15.6
2018-07-24,15.2
2018-07-25,15.16
2018-07-26,15.01
2018-07-27,15.21
2018-07-30,15.41
2018-07-31,15.55
2018-08-01,15.55
2018-08-02,15.4
2018-08-03,15.48
2018-08-06,15.4
2018-08-07,15.4
2018-08-08,15.55
2018-08-09,15.55
2018-08-10,15.55
2018-08-13,15.85
2018-08-14,15.84
2018-08-15,15.6
2018-08-16,15.55
2018-08-17,15.68
2018-08-20,15.45
2018-08-21,15.65
2018-08-22,15.75
2018-08-23,15.82
2018-08-24,15.81
2018-08-27,15.92
2018-08-28,15.99
2018-08-29,15.98
2018-08-30,15.98
2018-08-31,15.95
2018-09-04,15.8
2018-09-05,15.5
2018-09-06,15.4
2018-09-07,15.56
2018-09-10,15.5
2018-09-11,15.78
2018-09-12,15.85
2018-09-13,15.71
2018-09-14,16.1
2018-09-17,15.7
2018-09-18,15.75
2018-09-19,15.9
2018-09-20,15.96
2018-09-21,16.2
2018-09-24,16.21
2018-09-25,16.22
2018-09-26,16.24
2018-09-27,16.29
2018-09-28,16.37
2018-10-01,16.45
2018-10-02,16.3
2018-10-03,16.35
2018-10-04,16.31
2018-10-05,16.13
2018-10-08,16
2018-10-09,15.96
2018-10-10,15.91
2018-10-11,15.15
2018-10-12,15.59
2018-10-15,15.21
2018-10-16,15.43
2018-10-17,15.58
2018-10-18,15.48
2018-10-19,15.4
2018-10-22,15.3
2018-10-23,15.02
2018-10-24,14.7
2018-10-25,14.6
2018-10-26,14.52
2018-10-29,14.42
2018-10-30,14.4
2018-10-31,14.4
2018-11-01,14.57
2018-11-02,15.02
2018-11-05,15.02
2018-11-06,14.88
2018-11-07,14.8
2018-11-08,14.85
2018-11-09,14.6
2018-11-12,14.6
2018-11-13,14.47
2018-11-14,14.36
2018-11-15,14.17
2018-11-16,14.41
2018-11-19,14.93
2018-11-20,14.7
2018-11-21,14.8
2018-11-22,14.81
2018-11-23,14.6
2018-11-26,14.71
2018-11-27,14.75
2018-11-28,14.78
2018-11-29,14.78
2018-11-30,14.72
2018-12-03,15.18
2018-12-04,15.5
2018-12-05,15.27
2018-12-06,15.14
2018-12-07,15.3
2018-12-10,15.2
2018-12-11,15.15
2018-12-12,15.35
2018-12-13,15.45
2018-12-14,15.34
2018-12-17,14.8
2018-12-18,14.57
2018-12-19,14.55
2018-12-20,14.53
2018-12-21,14.5
2018-12-24,14.4
2018-12-25,14.13
2018-12-26,14.1
2018-12-27,14.32
2018-12-28,14.31
2019-01-02,14.1
2019-01-03,13.93
2019-01-04,13.74
2019-01-07,14
2019-01-08,14
2019-01-09,14
2019-01-10,14.2
2019-01-11,14.17
2019-01-14,14.15
2019-01-15,14.25
2019-01-16,14.26
2019-01-17,14.04
2019-01-18,14.05
2019-01-21,14.39
2019-01-22,14.2
2019-01-23,14.28
2019-01-24,14.27
2019-01-25,14.2
2019-01-28,14.31
2019-01-29,14.5
2019-01-30,14.42
2019-01-31,14.26
2019-02-01,14.2
2019-02-11,14.69
2019-02-12,14.8
2019-02-13,14.9
2019-02-14,14.95
2019-02-15,14.9
2019-02-18,14.94
2019-02-19,15.02
2019-02-20,15.15
2019-02-21,15.18
2019-02-22,15.4
2019-02-25,15.55
2019-02-26,15.37
2019-02-27,15.44
2019-02-28,15
2019-03-01,15.05
2019-03-04,15.39
2019-03-05,15.3
2019-03-06,15.3
2019-03-07,15.4
2019-03-08,15.22
2019-03-11,15.2
2019-03-12,15.3
2019-03-13,15.46
2019-03-14,15.48
2019-03-15,15.35
2019-03-18,15.41
2019-03-19,15.3
2019-03-20,15.24
2019-03-21,15.11
2019-03-22,15.4
2019-03-25,14.73
2019-03-26,15
2019-03-27,14.86
2019-03-28,14.89
2019-03-29,14.7
2019-04-01,14.94
2019-04-02,14.97
2019-04-03,15
2019-04-04,14.95
2019-04-05,14.98
2019-04-08,15
2019-04-09,14.9
2019-04-10,14.8
2019-04-11,14.81
2019-04-12,14.81
2019-04-16,14.68
2019-04-17,14.75
2019-04-18,14.61
2019-04-19,14.65
2019-04-22,14.57
2019-04-23,14.52
2019-04-24,14.8
2019-04-25,14.63
2019-04-26,14.72
2019-05-02,14.72
2019-05-03,14.9
2019-05-06,14.52
2019-05-07,14.5
2019-05-08,14.46
2019-05-09,14.46
2019-05-10,14.46
2019-05-13,14.5
2019-05-14,14.56
2019-05-15,14.77
2019-05-16,14.82
2019-05-17,14.77
2019-05-20,14.94
2019-05-21,14.98
2019-05-22,14.8
2019-05-23,14.84
2019-05-24,14.79
2019-05-27,14.75
2019-05-28,14.81
2019-05-29,14.7
2019-05-30,14.78
2019-05-31,14.55
2019-06-03,14.1
2019-06-04,14.39
2019-06-05,14.37
2019-06-06,14.21
2019-06-07,14.38
2019-06-10,14.32
2019-06-11,14.49
2019-06-12,14.3
2019-06-13,14.3
2019-06-14,14.5
2019-06-17,14.19
2019-06-18,14.05
2019-06-19,14.2
2019-06-20,14.4
2019-06-21,14.41
2019-06-24,14.45
2019-06-25,14.42
2019-06-26,14.34
2019-06-27,14.22
2019-06-28,14.21
2019-07-01,14.55
2019-07-02,14.55
2019-07-03,14.35
2019-07-04,14.59
2019-07-05,14.6
2019-07-08,14.51
2019-07-09,14.42
2019-07-10,14.56
2019-07-11,14.6
2019-07-12,14.55
2019-07-15,14.48
2019-07-16,14.56
2019-07-17,14.57
2019-07-18,14.49
2019-07-19,14.57
2019-07-22,14.59
2019-07-23,14.68
2019-07-24,14.73
2019-07-25,14.79
2019-07-26,14.75
2019-07-29,14.73
2019-07-30,14.64
2019-07-31,14.71
2019-08-01,14.68
2019-08-02,14.66
2019-08-05,14.5
2019-08-06,14.3
2019-08-07,14.37
2019-08-08,14.5
2019-08-09,14.56
2019-08-12,14.62
2019-08-13,14.58
2019-08-14,14.62
2019-08-15,14.72
2019-08-16,14.86
2019-08-19,14.85
2019-08-20,14.85
2019-08-21,14.94
2019-08-22,14.97
2019-08-23,14.95
2019-08-26,14.85
2019-08-27,14.7
2019-08-28,14.7
2019-08-29,14.73
2019-08-30,14.88
2019-09-03,14.78
2019-09-04,14.75
2019-09-05,14.73
2019-09-06,14.75
2019-09-09,14.7
2019-09-10,14.69
2019-09-11,14.7
2019-09-12,14.81
2019-09-13,14.9
2019-09-16,15.06
2019-09-17,15.12
2019-09-18,15.15
2019-09-19,15.21
2019-09-20,15.26
2019-09-23,15.22
2019-09-24,15.16
2019-09-25,15.16
2019-09-26,15.2
2019-09-27,15.4
2019-09-30,15.46
2019-10-01,15.5
2019-10-02,15.28
2019-10-03,15.4
2019-10-04,15.22
2019-10-07,15.3
2019-10-08,15.2
2019-10-09,15.23
2019-10-10,15.23
2019-10-11,15.3
2019-10-14,15.5
2019-10-15,15.4
2019-10-16,15.4
2019-10-17,15.29
2019-10-18,15.3
2019-10-21,15.26
2019-10-22,15.23
2019-10-23,15.3
2019-10-24,15.35
2019-10-25,15.4
2019-10-28,15.45
2019-10-29,15.41
2019-10-30,15.5
2019-10-31,15.38
2019-11-01,15.5
2019-11-04,15.62
2019-11-05,15.67
2019-11-06,15.72
2019-11-07,15.73
2019-11-08,15.7
2019-11-11,15.67
2019-11-12,15.65
2019-11-13,15.5
2019-11-14,15.45
2019-11-15,15.43
2019-11-18,15.33
2019-11-19,15.4
2019-11-20,15.3
2019-11-21,15
2019-11-22,14.87
2019-11-25,14.91
2019-11-26,14.98
