date,ETF
2014-10-06,10.4
2014-10-07,10.3
2014-10-08,10.3
2014-10-09,10.2
2014-10-10,9.9
2014-10-13,9.9
2014-10-14,9.9
2014-10-15,9.9
2014-10-16,9.6
2014-10-17,9.7
2014-10-20,9.8
2014-10-21,9.9
2014-10-22,9.8
2014-10-23,9.8
2014-10-24,9.7
2014-10-27,9.6
2014-10-28,9.5
2014-10-29,9.8
2014-10-30,9.7
2014-10-31,9.9
2014-11-03,10.1
2014-11-04,10.1
2014-11-05,10
2014-11-06,10
2014-11-07,9.8
2014-11-10,9.9
2014-11-11,10
2014-11-12,9.9
2014-11-13,10
2014-11-14,9.9
2014-11-17,9.9
2014-11-18,9.9
2014-11-19,9.8
2014-11-20,9.9
2014-11-21,9.6
2014-11-24,9.5
2014-11-25,9.7
2014-11-26,9.5
2014-11-27,9.5
2014-11-28,9.5
2014-12-01,9.7
2014-12-02,9.5
2014-12-03,9.6
2014-12-04,9.7
2014-12-05,9.7
2014-12-08,9.6
2014-12-09,9.4
2014-12-10,9.5
2014-12-11,9.5
2014-12-12,9.5
2014-12-15,9.5
2014-12-16,9.3
2014-12-17,8.9
2014-12-18,9
2014-12-19,9
2014-12-22,9.2
2014-12-23,9.1
2014-12-24,9.1
2014-12-25,9.1
2014-12-26,9.2
2014-12-29,9.2
2014-12-30,9.3
2014-12-31,9.4
2015-01-05,9.4
2015-01-06,9.4
2015-01-07,9.4
2015-01-08,9.3
2015-01-09,9.5
2015-01-12,9.6
2015-01-13,9.6
2015-01-14,9.6
2015-01-15,9.5
2015-01-16,9.5
2015-01-19,9.5
2015-01-20,9.4
2015-01-21,9.4
2015-01-22,9.4
2015-01-23,9.5
2015-01-26,9.5
2015-01-27,9.5
2015-01-28,9.5
2015-01-29,9.5
2015-01-30,9.5
2015-02-02,9.3
2015-02-03,9.3
2015-02-04,9.3
2015-02-05,9.2
2015-02-06,9.2
2015-02-09,9.3
2015-02-10,9.2
2015-02-11,9.3
2015-02-12,9.4
2015-02-13,9.5
2015-02-24,9.5
2015-02-25,9.6
2015-02-26,9.5
2015-02-27,9.5
2015-03-02,9.5
2015-03-03,9.6
2015-03-04,9.6
2015-03-05,9.6
2015-03-06,9.7
2015-03-09,9.6
2015-03-10,9.6
2015-03-11,9.5
2015-03-12,9.5
2015-03-13,9.5
2015-03-16,9.4
2015-03-17,9.4
2015-03-18,9.4
2015-03-19,9.3
2015-03-20,9.3
2015-03-23,9.4
2015-03-24,9.3
2015-03-25,9.2
2015-03-26,9.2
2015-03-27,9.3
2015-03-30,9
2015-03-31,9.2
2015-04-01,8.9
2015-04-02,9
2015-04-03,9
2015-04-06,8.9
2015-04-07,9
2015-04-08,8.9
2015-04-09,9
2015-04-10,9.1
2015-04-13,9
2015-04-14,9
2015-04-15,9.1
2015-04-16,9.2
2015-04-17,9.3
2015-04-20,9.2
2015-04-21,9.1
2015-04-22,9.1
2015-04-23,9.1
2015-04-24,9.1
2015-04-27,9.1
2015-05-04,9
2015-05-05,8.9
