symbol,date,price
VFMVF1,2017-08-09,32336.120000000003
VFMVF1,2017-08-10,32678.14
VFMVF1,2017-08-11,32678.14
VFMVF1,2017-08-14,32953.51
VFMVF1,2017-08-15,32882.219999999994
VFMVF1,2017-08-16,32985.55
VFMVF1,2017-08-17,32740.250000000004
VFMVF1,2017-08-18,32740.250000000004
VFMVF1,2017-08-21,32635.14
VFMVF1,2017-08-22,32441.39
VFMVF1,2017-08-23,32474.12
VFMVF1,2017-08-24,32631.07
VFMVF1,2017-08-25,32631.07
VFMVF1,2017-08-28,32815.85
VFMVF1,2017-08-29,32790.49
VFMVF1,2017-08-30,32930.22
VFMVF1,2017-08-31,32994.92
VFMVF1,2017-09-01,32994.92
VFMVF1,2017-09-05,33138.49
VFMVF1,2017-09-06,33177.12
VFMVF1,2017-09-07,33214.759999999995
VFMVF1,2017-09-08,33214.759999999995
VFMVF1,2017-09-11,33021.69
VFMVF1,2017-09-12,33192.909999999996
VFMVF1,2017-09-13,33566.32
VFMVF1,2017-09-14,33534.73
VFMVF1,2017-09-15,33534.73
VFMVF1,2017-09-18,33649.009999999995
VFMVF1,2017-09-19,33683.06
VFMVF1,2017-09-20,33787.85
VFMVF1,2017-09-21,33827.54
VFMVF1,2017-09-22,33827.54
VFMVF1,2017-09-25,34129.03
VFMVF1,2017-09-26,34201.07
VFMVF1,2017-09-27,33969.64
VFMVF1,2017-09-28,34075.98
VFMVF1,2017-09-29,34075.98
VFMVF1,2017-10-02,34165.18
VFMVF1,2017-10-03,34042.299999999996
VFMVF1,2017-10-04,34507.350000000006
VFMVF1,2017-10-05,34344.5
VFMVF1,2017-10-06,34344.5
VFMVF1,2017-10-09,34662.32
VFMVF1,2017-10-10,34961.96
VFMVF1,2017-10-11,35024.02
VFMVF1,2017-10-12,35104.950000000004
VFMVF1,2017-10-13,35104.950000000004
VFMVF1,2017-10-16,35391.42
VFMVF1,2017-10-17,35633.380000000005
VFMVF1,2017-10-18,35490.560000000005
VFMVF1,2017-10-19,35533.9
VFMVF1,2017-10-20,35533.9
VFMVF1,2017-10-23,34792.369999999995
VFMVF1,2017-10-24,34994.41
VFMVF1,2017-10-25,35248.07
VFMVF1,2017-10-26,35107.89
VFMVF1,2017-10-27,35107.89
VFMVF1,2017-10-30,35197.61
VFMVF1,2017-10-31,35069.14
VFMVF1,2017-11-01,35039.82
VFMVF1,2017-11-02,34382.72
VFMVF1,2017-11-03,34382.72
VFMVF1,2017-11-06,35137.69
VFMVF1,2017-11-07,35120.59
VFMVF1,2017-11-08,35626.1
VFMVF1,2017-11-09,35804.96
VFMVF1,2017-11-10,35804.96
VFMVF1,2017-11-13,36563.920000000006
VFMVF1,2017-11-14,36851.94
VFMVF1,2017-11-15,37018.68
VFMVF1,2017-11-16,37395.53999999999
VFMVF1,2017-11-17,37395.53999999999
VFMVF1,2017-11-20,37600.08
VFMVF1,2017-11-21,37709.899999999994
VFMVF1,2017-11-22,38151.59
VFMVF1,2017-11-23,38292.65
VFMVF1,2017-11-24,38292.65
VFMVF1,2017-11-27,38372.81
VFMVF1,2017-11-28,38478.07
VFMVF1,2017-11-29,38983.74
VFMVF1,2017-11-30,39133.5
VFMVF1,2017-12-01,39133.5
VFMVF1,2017-12-04,39753.69
VFMVF1,2017-12-05,39028.64
VFMVF1,2017-12-06,38847.32000000001
VFMVF1,2017-12-07,39041.049999999996
VFMVF1,2017-12-08,39041.049999999996
VFMVF1,2017-12-11,38301.560000000005
VFMVF1,2017-12-12,38387.2
VFMVF1,2017-12-13,38229.54
VFMVF1,2017-12-14,38766.28
VFMVF1,2017-12-15,38766.28
VFMVF1,2017-12-18,39612.9
VFMVF1,2017-12-19,39485.729999999996
VFMVF1,2017-12-20,39425.579999999994
VFMVF1,2017-12-21,39269.09
VFMVF1,2017-12-22,39269.09
VFMVF1,2017-12-25,39663.93
VFMVF1,2017-12-26,39833.3
VFMVF1,2017-12-27,39936.23
VFMVF1,2017-12-28,40334.81
VFMVF1,2017-12-29,40334.81
VFMVF1,2018-01-02,41429.32
VFMVF1,2018-01-03,41533.549999999996
VFMVF1,2018-01-04,41962.73
VFMVF1,2018-01-05,41962.73
VFMVF1,2018-01-08,42495.63
VFMVF1,2018-01-09,42833.37
VFMVF1,2018-01-10,42913.7
VFMVF1,2018-01-11,42926.380000000005
VFMVF1,2018-01-12,42926.380000000005
VFMVF1,2018-01-15,43181.96
VFMVF1,2018-01-16,43220.19
VFMVF1,2018-01-17,42408.05
VFMVF1,2018-01-18,42841.74
VFMVF1,2018-01-19,42841.74
VFMVF1,2018-01-22,44123.17
VFMVF1,2018-01-25,44840.82
VFMVF1,2018-01-26,44840.82
VFMVF1,2018-01-29,44680.67
VFMVF1,2018-01-30,44947.73
VFMVF1,2018-01-31,44872.67
VFMVF1,2018-02-01,44599.11
VFMVF1,2018-02-02,44599.11
VFMVF1,2018-02-05,43024.23
VFMVF1,2018-02-06,41722.22
VFMVF1,2018-02-07,42936
VFMVF1,2018-02-08,42485.689999999995
VFMVF1,2018-02-09,42485.689999999995
VFMVF1,2018-02-12,43382.85
VFMVF1,2018-02-13,43382.85
VFMVF1,2018-02-21,44881.729999999996
VFMVF1,2018-02-22,44391.29
VFMVF1,2018-02-23,44391.29
VFMVF1,2018-02-26,45146.83
VFMVF1,2018-02-27,45495.28999999999
VFMVF1,2018-02-28,45717.840000000004
VFMVF1,2018-03-01,45728.96
VFMVF1,2018-03-02,45728.96
VFMVF1,2018-03-05,45171.94
VFMVF1,2018-03-06,46186.47
VFMVF1,2018-03-07,45751
VFMVF1,2018-03-08,46231.94
VFMVF1,2018-03-09,46231.94
VFMVF1,2018-03-12,46391.1
VFMVF1,2018-03-13,46556.399999999994
VFMVF1,2018-03-14,46627.920000000006
VFMVF1,2018-03-15,46527.58
VFMVF1,2018-03-16,46527.58
VFMVF1,2018-03-19,47377.65
VFMVF1,2018-03-20,47600.29
VFMVF1,2018-03-21,47675.55
VFMVF1,2018-03-22,47664.94
VFMVF1,2018-03-23,47664.94
VFMVF1,2018-03-26,47619.65
VFMVF1,2018-03-27,47833.01
VFMVF1,2018-03-28,47917.009999999995
VFMVF1,2018-03-29,47868.68
VFMVF1,2018-03-30,47868.68
VFMVF1,2018-04-02,48984.85
VFMVF1,2018-04-03,48678.67
VFMVF1,2018-04-04,48825.42
VFMVF1,2018-04-05,48962.75
VFMVF1,2018-04-06,48962.75
VFMVF1,2018-04-09,49328.490000000005
VFMVF1,2018-04-10,49190.14
VFMVF1,2018-04-11,48183.100000000006
VFMVF1,2018-04-12,48446.54
VFMVF1,2018-04-13,48446.54
VFMVF1,2018-04-16,47647.52
VFMVF1,2018-04-17,47802.79
VFMVF1,2018-04-18,47332.24
VFMVF1,2018-04-19,45944.719999999994
VFMVF1,2018-04-20,45944.719999999994
VFMVF1,2018-04-23,45119.729999999996
VFMVF1,2018-04-24,45119.729999999996
VFMVF1,2018-04-26,43658.659999999996
VFMVF1,2018-04-27,43658.659999999996
VFMVF1,2018-05-02,43649.619999999995
VFMVF1,2018-05-03,43733.780000000006
VFMVF1,2018-05-04,43733.780000000006
VFMVF1,2018-05-07,45062.579999999994
VFMVF1,2018-05-08,44756.15
VFMVF1,2018-05-09,44423.94
VFMVF1,2018-05-10,43449.770000000004
VFMVF1,2018-05-11,43449.770000000004
VFMVF1,2018-05-14,44427.64
VFMVF1,2018-05-15,44507.02
VFMVF1,2018-05-16,43818.7
VFMVF1,2018-05-17,43240.46
VFMVF1,2018-05-18,43240.46
VFMVF1,2018-05-21,42912.22
VFMVF1,2018-05-22,41867.17
VFMVF1,2018-05-23,42056.03
VFMVF1,2018-05-24,41811.92
VFMVF1,2018-05-25,41811.92
VFMVF1,2018-05-28,39406.08
VFMVF1,2018-05-29,40385.73
VFMVF1,2018-05-30,40331.490000000005
VFMVF1,2018-05-31,41256.12
VFMVF1,2018-06-01,41256.12
VFMVF1,2018-06-04,42507.28
VFMVF1,2018-06-05,42695.9
VFMVF1,2018-06-06,43220.170000000006
VFMVF1,2018-06-07,43392.380000000005
VFMVF1,2018-06-08,43392.380000000005
VFMVF1,2018-06-11,43874.51
VFMVF1,2018-06-12,43129.62
VFMVF1,2018-06-13,43296.05
VFMVF1,2018-06-14,42806.420000000006
VFMVF1,2018-06-15,42806.420000000006
VFMVF1,2018-06-18,41573.67
VFMVF1,2018-06-19,40413.3
VFMVF1,2018-06-20,41186.79
VFMVF1,2018-06-21,40789.24
VFMVF1,2018-06-22,40789.24
VFMVF1,2018-06-25,41579.54
VFMVF1,2018-06-26,41256.74
VFMVF1,2018-06-27,40583.39
VFMVF1,2018-06-28,39819.95
VFMVF1,2018-06-29,39819.95
VFMVF1,2018-07-02,38784.509999999995
VFMVF1,2018-07-03,37339.3
VFMVF1,2018-07-04,37842.75
VFMVF1,2018-07-05,37328.07
VFMVF1,2018-07-06,37328.07
VFMVF1,2018-07-09,38038.58
VFMVF1,2018-07-10,38128.96
VFMVF1,2018-07-11,37179.020000000004
VFMVF1,2018-07-12,37370.5
VFMVF1,2018-07-13,37370.5
VFMVF1,2018-07-16,38166.39
VFMVF1,2018-07-17,38742.17
VFMVF1,2018-07-18,39365.83
VFMVF1,2018-07-19,39329.94
VFMVF1,2018-07-20,39329.94
VFMVF1,2018-07-23,38965.03
VFMVF1,2018-07-24,38651.200000000004
VFMVF1,2018-07-25,38374.83
VFMVF1,2018-07-26,38432.64
VFMVF1,2018-07-27,38432.64
VFMVF1,2018-07-30,39306.14
VFMVF1,2018-07-31,39470.73
VFMVF1,2018-08-01,39243.59
VFMVF1,2018-08-02,39320.43
VFMVF1,2018-08-03,39320.43
VFMVF1,2018-08-06,39146.13
VFMVF1,2018-08-07,39068.45
VFMVF1,2018-08-08,39393.009999999995
VFMVF1,2018-08-09,39509.86
VFMVF1,2018-08-10,39509.86
VFMVF1,2018-08-13,40001.92
VFMVF1,2018-08-14,40119.96
VFMVF1,2018-08-15,39517.84
VFMVF1,2018-08-16,39633.119999999995
VFMVF1,2018-08-17,39633.119999999995
VFMVF1,2018-08-20,39552.07
VFMVF1,2018-08-21,40027.659999999996
VFMVF1,2018-08-22,40083.41
VFMVF1,2018-08-23,40118.87
VFMVF1,2018-08-24,40118.87
VFMVF1,2018-08-27,40314.89
VFMVF1,2018-08-28,40439.42
VFMVF1,2018-08-29,40358.99
VFMVF1,2018-08-30,40678.26
VFMVF1,2018-08-31,40678.26
VFMVF1,2018-09-04,39814.89
VFMVF1,2018-09-05,39511.34
VFMVF1,2018-09-06,39216.1
VFMVF1,2018-09-07,39216.1
VFMVF1,2018-09-10,39556.3
VFMVF1,2018-09-11,39970.799999999996
VFMVF1,2018-09-12,39922.3
VFMVF1,2018-09-13,40059.01
VFMVF1,2018-09-14,40059.01
VFMVF1,2018-09-17,40035.19
VFMVF1,2018-09-18,40250.28
VFMVF1,2018-09-19,40440.99
VFMVF1,2018-09-20,40832.729999999996
VFMVF1,2018-09-21,40832.729999999996
VFMVF1,2018-09-24,41297.97
VFMVF1,2018-09-25,41224.52
VFMVF1,2018-09-26,41186.25
VFMVF1,2018-09-27,41449.71000000001
VFMVF1,2018-09-28,41449.71000000001
VFMVF1,2018-10-01,41347.880000000005
VFMVF1,2018-10-02,41312.26
VFMVF1,2018-10-03,41490
VFMVF1,2018-10-04,41758.8
VFMVF1,2018-10-05,41758.8
VFMVF1,2018-10-08,41131.86
VFMVF1,2018-10-09,41173.340000000004
VFMVF1,2018-10-10,41171.75
VFMVF1,2018-10-11,39222.87
VFMVF1,2018-10-12,39222.87
VFMVF1,2018-10-15,39387.25
VFMVF1,2018-10-16,39713.369999999995
VFMVF1,2018-10-17,39980.54
VFMVF1,2018-10-18,39687.52
VFMVF1,2018-10-19,39687.52
VFMVF1,2018-10-22,39221.159999999996
VFMVF1,2018-10-23,38441.6
VFMVF1,2018-10-24,37751
VFMVF1,2018-10-25,37252.450000000004
VFMVF1,2018-10-26,37252.450000000004
VFMVF1,2018-10-29,36212.829999999994
VFMVF1,2018-10-30,36354.02
VFMVF1,2018-10-31,37522.71
VFMVF1,2018-11-01,37136.130000000005
VFMVF1,2018-11-02,37136.130000000005
VFMVF1,2018-11-05,37806.15
VFMVF1,2018-11-06,37544.490000000005
VFMVF1,2018-11-07,37489.10999999999
VFMVF1,2018-11-08,37515.39
VFMVF1,2018-11-09,37515.39
VFMVF1,2018-11-12,37085.7
VFMVF1,2018-11-13,36606.54
VFMVF1,2018-11-14,36365.73
VFMVF1,2018-11-15,36197.06
VFMVF1,2018-11-16,36197.06
VFMVF1,2018-11-19,37083.18
VFMVF1,2018-11-20,37140.41
VFMVF1,2018-11-21,37260.52
VFMVF1,2018-11-22,37367.18
VFMVF1,2018-11-23,37367.18
VFMVF1,2018-11-26,37072.16
VFMVF1,2018-11-27,37007.06
VFMVF1,2018-11-28,37247.55
VFMVF1,2018-11-29,37042.88
VFMVF1,2018-11-30,37042.88
