symbol,date,price
VNINDEX,2017-01-13,685.06
VNINDEX,2017-01-16,677.94
VNINDEX,2017-01-17,684.71
VNINDEX,2017-01-18,683.28
VNINDEX,2017-01-19,682.31
VNINDEX,2017-01-20,686.26
VNINDEX,2017-01-23,687.15
VNINDEX,2017-01-24,691.36
VNINDEX,2017-01-25,697.28
VNINDEX,2017-02-02,703.18
VNINDEX,2017-02-03,700.35
VNINDEX,2017-02-06,700.04
VNINDEX,2017-02-07,701.91
VNINDEX,2017-02-08,702.04
VNINDEX,2017-02-09,700.65
VNINDEX,2017-02-10,703.78
VNINDEX,2017-02-13,705.9
VNINDEX,2017-02-14,706.26
VNINDEX,2017-02-15,711.57
VNINDEX,2017-02-16,709.35
VNINDEX,2017-02-17,707.83
VNINDEX,2017-02-20,710.59
VNINDEX,2017-02-21,716.55
VNINDEX,2017-02-22,717.24
VNINDEX,2017-02-23,716.87
VNINDEX,2017-02-24,714.47
VNINDEX,2017-02-27,717.44
VNINDEX,2017-02-28,710.79
VNINDEX,2017-03-01,709.52
VNINDEX,2017-03-02,707.51
VNINDEX,2017-03-03,712.62
VNINDEX,2017-03-06,716.29
VNINDEX,2017-03-07,716.54
VNINDEX,2017-03-08,716.6
VNINDEX,2017-03-09,715.8
VNINDEX,2017-03-10,712.21
VNINDEX,2017-03-13,710.17
VNINDEX,2017-03-14,714.71
VNINDEX,2017-03-15,713.14
VNINDEX,2017-03-16,714.92
VNINDEX,2017-03-17,710.54
VNINDEX,2017-03-20,715.07
VNINDEX,2017-03-21,716.18
VNINDEX,2017-03-22,712.94
VNINDEX,2017-03-23,719.56
VNINDEX,2017-03-24,722.14
VNINDEX,2017-03-27,723.52
VNINDEX,2017-03-28,719.26
VNINDEX,2017-03-29,720.47
VNINDEX,2017-03-30,723.86
VNINDEX,2017-03-31,722.31
VNINDEX,2017-04-03,722.38
VNINDEX,2017-04-04,724.14
VNINDEX,2017-04-05,723.22
VNINDEX,2017-04-07,727.95
VNINDEX,2017-04-10,729.87
VNINDEX,2017-04-11,731.33
VNINDEX,2017-04-12,725.58
VNINDEX,2017-04-13,724.35
VNINDEX,2017-04-14,718.45
VNINDEX,2017-04-17,710.83
VNINDEX,2017-04-18,714.93
VNINDEX,2017-04-19,716.77
VNINDEX,2017-04-20,712.66
VNINDEX,2017-04-21,712.41
VNINDEX,2017-04-24,709.39
VNINDEX,2017-04-25,707.58
VNINDEX,2017-04-26,710.04
VNINDEX,2017-04-27,716.53
VNINDEX,2017-04-28,717.73
VNINDEX,2017-05-03,719.54
VNINDEX,2017-05-04,722.02
VNINDEX,2017-05-05,720
VNINDEX,2017-05-08,718.86
VNINDEX,2017-05-09,722.11
VNINDEX,2017-05-10,724.31
VNINDEX,2017-05-11,724.99
VNINDEX,2017-05-12,725.37
VNINDEX,2017-05-15,725.35
VNINDEX,2017-05-16,725.03
VNINDEX,2017-05-17,727.2
VNINDEX,2017-05-18,726.99
VNINDEX,2017-05-19,733.82
VNINDEX,2017-05-22,744.1
VNINDEX,2017-05-23,740.93
VNINDEX,2017-05-24,742.74
VNINDEX,2017-05-25,741.91
VNINDEX,2017-05-26,743.41
VNINDEX,2017-05-29,746.25
VNINDEX,2017-05-30,738.21
VNINDEX,2017-05-31,737.82
VNINDEX,2017-06-01,741.8
VNINDEX,2017-06-02,738.81
VNINDEX,2017-06-05,743.49
VNINDEX,2017-06-06,751.31
VNINDEX,2017-06-07,753.46
VNINDEX,2017-06-08,750.13
VNINDEX,2017-06-09,749.72
VNINDEX,2017-06-12,751.09
VNINDEX,2017-06-13,756.89
VNINDEX,2017-06-14,760.77
VNINDEX,2017-06-15,760.57
VNINDEX,2017-06-16,761.24
VNINDEX,2017-06-19,766.83
VNINDEX,2017-06-20,767.99
VNINDEX,2017-06-21,767.41
VNINDEX,2017-06-22,766.3
VNINDEX,2017-06-23,769.01
VNINDEX,2017-06-26,772.52
VNINDEX,2017-06-27,767.51
VNINDEX,2017-06-28,769.04
VNINDEX,2017-06-29,771.75
VNINDEX,2017-06-30,776.47
VNINDEX,2017-07-03,778.88
VNINDEX,2017-07-04,775.54
VNINDEX,2017-07-05,778.32
VNINDEX,2017-07-06,782.65
VNINDEX,2017-07-07,775.73
VNINDEX,2017-07-10,766.56
VNINDEX,2017-07-11,769.36
VNINDEX,2017-07-12,774.17
VNINDEX,2017-07-13,778.3
VNINDEX,2017-07-14,777.6
VNINDEX,2017-07-17,768.91
VNINDEX,2017-07-18,767.49
VNINDEX,2017-07-19,771.3
VNINDEX,2017-07-20,768.41
VNINDEX,2017-07-21,761.86
VNINDEX,2017-07-24,759.74
VNINDEX,2017-07-25,767.27
VNINDEX,2017-07-26,773.88
VNINDEX,2017-07-27,771.5
VNINDEX,2017-07-28,777.09
VNINDEX,2017-07-31,783.55
VNINDEX,2017-08-01,786.81
VNINDEX,2017-08-02,786.23
