Date,Open,High,Low,Close,Adj Close,Volume
2016-07-05,256.000000,259.963989,255.535995,259.375000,259.375000,570587
2016-07-06,262.000000,265.000000,259.500000,265.000000,265.000000,419154
2016-07-07,267.500000,269.750000,265.700012,268.250000,268.250000,850740
2016-07-08,270.000000,270.000000,266.250000,270.125000,270.125000,705355
2016-07-11,269.428986,269.428986,265.500000,266.000000,266.000000,2755
2016-07-12,266.000000,266.000000,261.399994,264.250000,264.250000,97729
2016-07-13,262.250000,265.608002,262.250000,264.625000,264.625000,916601
2016-07-14,266.500000,267.500000,265.924988,265.625000,265.625000,80887
2016-07-15,262.000000,263.500000,261.799988,263.500000,263.500000,1255845
2016-07-18,266.000000,266.153992,265.250000,267.125000,267.125000,100763
2016-07-19,265.000000,267.000000,265.000000,267.500000,267.500000,27000
2016-07-20,267.000000,270.000000,267.000000,270.000000,270.000000,399550
2016-07-21,270.000000,270.750000,267.000000,269.875000,269.875000,374959
2016-07-22,267.750000,269.750000,267.750000,269.500000,269.500000,1006881
2016-07-25,268.000000,268.750000,268.000000,269.000000,269.000000,6000
2016-07-26,264.750000,268.750000,264.750000,267.000000,267.000000,47856
2016-07-27,266.000000,268.881989,266.000000,268.375000,268.375000,22711
2016-07-28,268.000000,268.760986,267.000000,267.500000,267.500000,13456
2016-07-29,267.000000,269.000000,267.000000,267.500000,267.500000,43128
2016-08-01,269.000000,269.250000,267.806000,268.750000,268.750000,34476
2016-08-02,266.500000,266.500000,262.375000,262.500000,262.500000,70856
2016-08-03,259.250000,260.000000,257.250000,258.500000,258.500000,363960
2016-08-04,258.000000,262.500000,257.500000,261.250000,261.250000,5251326
2016-08-05,262.500000,265.750000,260.000000,264.750000,264.750000,678071
2016-08-08,265.750000,266.750000,264.750000,266.625000,266.625000,31812
2016-08-09,266.750000,270.000000,266.750000,270.000000,270.000000,36416
2016-08-10,270.500000,276.000000,269.487000,276.000000,276.000000,52125
2016-08-11,277.000000,283.250000,277.000000,283.250000,283.250000,87452
2016-08-12,282.750000,282.750000,278.250000,281.000000,281.000000,27531
2016-08-15,280.750000,283.924988,279.000000,283.750000,283.750000,479247
2016-08-16,283.500000,285.000000,282.000000,282.000000,282.000000,188180
2016-08-17,279.250000,280.838989,278.500000,280.750000,280.750000,77770
2016-08-18,280.750000,281.828003,278.644989,281.750000,281.750000,54488
2016-08-19,281.750000,284.000000,278.750000,283.000000,283.000000,483835
2016-08-22,279.250000,281.750000,278.750000,280.625000,280.625000,27883
2016-08-23,281.750000,282.250000,278.303009,282.000000,282.000000,35105
2016-08-24,277.750000,282.024994,277.750000,279.875000,279.875000,9973
2016-08-25,280.000000,282.000000,280.000000,279.875000,279.875000,253531
2016-08-26,281.750000,281.750000,281.750000,281.750000,281.750000,0
2016-08-30,282.000000,284.000000,282.000000,283.000000,283.000000,63177
2016-08-31,284.000000,285.250000,284.000000,284.625000,284.625000,55752
2016-09-01,282.500000,291.000000,282.500000,290.000000,290.000000,1210452
2016-09-02,291.500000,291.750000,287.178986,291.125000,291.125000,1325787
2016-09-05,291.750000,293.750000,288.500000,288.500000,288.500000,1245607
2016-09-06,290.000000,290.000000,287.000000,287.000000,287.000000,409788
2016-09-07,287.000000,288.000000,285.000000,286.000000,286.000000,423371
2016-09-08,287.000000,287.500000,285.000000,285.500000,285.500000,367731
2016-09-09,286.000000,286.320007,284.250000,284.250000,284.250000,293573
2016-09-12,283.000000,283.000000,282.750000,282.750000,282.750000,238920
2016-09-13,282.250000,282.250000,281.750000,281.750000,281.750000,1582213
2016-09-14,282.000000,282.000000,281.078003,281.500000,281.500000,1895632
2016-09-15,281.000000,283.000000,281.000000,282.000000,282.000000,1376583
2016-09-16,282.000000,288.000000,282.000000,288.000000,288.000000,7203643
2016-09-19,283.000000,286.000000,283.000000,286.000000,286.000000,172885
2016-09-20,285.000000,287.000000,284.750000,285.000000,285.000000,496714
2016-09-21,285.500000,287.250000,284.000000,285.000000,285.000000,1287668
2016-09-22,285.000000,288.000000,285.000000,286.500000,286.500000,666628
2016-09-23,287.000000,291.000000,287.000000,291.000000,291.000000,73866
2016-09-26,291.250000,292.000000,288.500000,290.375000,290.375000,194709
