date,symbol,price
2021-02-24,FUEVFVND,19.5
2021-02-25,FUEVFVND,19.51
2021-02-26,FUEVFVND,19.6
2021-03-01,FUEVFVND,19.95
2021-03-02,FUEVFVND,19.99
2021-03-03,FUEVFVND,20.02
2021-03-04,FUEVFVND,20.02
2021-03-05,FUEVFVND,19.6
2021-03-08,FUEVFVND,19.5
2021-03-09,FUEVFVND,19.46
2021-03-10,FUEVFVND,19.49
2021-03-11,FUEVFVND,19.87
2021-03-12,FUEVFVND,19.85
2021-03-15,FUEVFVND,19.97
2021-03-16,FUEVFVND,20
2021-03-17,FUEVFVND,20.17
2021-03-18,FUEVFVND,20.4
2021-03-19,FUEVFVND,20.42
2021-03-22,FUEVFVND,20.23
2021-03-23,FUEVFVND,20.12
2021-03-24,FUEVFVND,19.8
2021-03-25,FUEVFVND,19.62
2021-03-26,FUEVFVND,19.59
2021-03-29,FUEVFVND,19.9
2021-03-30,FUEVFVND,19.81
2021-03-31,FUEVFVND,19.89
2021-04-01,FUEVFVND,20.2
2021-04-02,FUEVFVND,20.62
2021-04-05,FUEVFVND,20.5
2021-04-06,FUEVFVND,20.56
2021-04-07,FUEVFVND,20.61
2021-04-08,FUEVFVND,20.65
2021-04-09,FUEVFVND,20.77
2021-04-12,FUEVFVND,21.11
2021-04-13,FUEVFVND,21
2021-04-14,FUEVFVND,21
2021-04-15,FUEVFVND,21.1
2021-04-16,FUEVFVND,20.98
2021-04-19,FUEVFVND,21
2021-04-20,FUEVFVND,21
2021-04-22,FUEVFVND,20.73
2021-04-23,FUEVFVND,21.18
2021-04-26,FUEVFVND,21.05
2021-04-27,FUEVFVND,21.5
2021-04-28,FUEVFVND,21.45
2021-04-29,FUEVFVND,21.9
2021-05-04,FUEVFVND,22.15
2021-05-05,FUEVFVND,22.65
2021-05-06,FUEVFVND,23.7
2021-05-07,FUEVFVND,22.94
2021-05-10,FUEVFVND,22.75
2021-05-11,FUEVFVND,22.42
2021-05-12,FUEVFVND,22.6
2021-05-13,FUEVFVND,22.6
2021-05-14,FUEVFVND,22.83
2021-05-17,FUEVFVND,22.75
2021-05-18,FUEVFVND,22.7
2021-05-19,FUEVFVND,23.15
2021-05-20,FUEVFVND,23.3
2021-05-21,FUEVFVND,23.7
2021-05-24,FUEVFVND,23.85
2021-05-25,FUEVFVND,24.07
2021-05-26,FUEVFVND,24.23
2021-05-27,FUEVFVND,24.28
2021-05-28,FUEVFVND,24.37
2021-05-31,FUEVFVND,24.47
2021-06-01,FUEVFVND,25
2021-06-02,FUEVFVND,25.08
2021-06-03,FUEVFVND,25.55
2021-06-04,FUEVFVND,25.49
2021-06-07,FUEVFVND,25.39
2021-06-08,FUEVFVND,24.9
2021-06-09,FUEVFVND,25
2021-06-10,FUEVFVND,24.36
2021-06-11,FUEVFVND,24.97
2021-06-14,FUEVFVND,24.9
2021-06-15,FUEVFVND,25.2
2021-06-16,FUEVFVND,24.67
2021-06-17,FUEVFVND,24.31
2021-06-18,FUEVFVND,24.77
2021-06-21,FUEVFVND,24.78
2021-06-22,FUEVFVND,25.03
2021-06-23,FUEVFVND,25
2021-06-24,FUEVFVND,25.2
2021-06-25,FUEVFVND,25.07
2021-06-28,FUEVFVND,25.38
2021-06-29,FUEVFVND,25.74
2021-06-30,FUEVFVND,25.7
2021-07-01,FUEVFVND,25.75
2021-07-02,FUEVFVND,26.02
