date,BITCOIN
2016-04-06,9398558
2016-04-07,9408267.05
2016-04-08,9352096.860000001
2016-04-09,9351650.969999999
2016-04-10,9439491.299999999
2016-04-11,9451742.3
2016-04-12,9546357
2016-04-13,9504478.139999999
2016-04-14,9523988.8
2016-04-15,9626545.27
2016-04-16,9681499.209999999
2016-04-17,9628109
2016-04-18,9627007.860000001
2016-04-19,9761298.040000001
2016-04-20,9892847.16
2016-04-21,10098742.5
2016-04-22,9990126.39
2016-04-23,10152317.51
2016-04-24,10347704.34
2016-04-25,10392094.725
2016-04-26,10484745.2
2016-04-27,9916608.39
2016-04-28,10069076.4
2016-04-29,10226180.16
2016-04-30,10119197.76
2016-05-01,10185170.24
2016-05-02,9945791.18
2016-05-03,10079534.795
2016-05-04,10000852.86
2016-05-05,10029829.21
2016-05-06,10296799.475
2016-05-07,10287890.475
2016-05-08,10307490.275
2016-05-09,10341716.88
2016-05-10,10089749.52
2016-05-11,10121773.305
2016-05-12,10184068.8
2016-05-13,10220968.65
2016-05-14,10241500.75
2016-05-15,10298856.725000001
2016-05-16,10148003.860000001
2016-05-17,10124349.29
2016-05-18,10146232.32
2016-05-19,9782011.32
2016-05-20,9945793.875
2016-05-21,9959853.899999999
2016-05-22,9875047.4
2016-05-23,9938886.67
2016-05-24,9977934.275
2016-05-25,10082900.425
2016-05-26,10177678.9
2016-05-27,10548436.41
2016-05-28,11711904.75
2016-05-29,11755999.26
2016-05-30,11937907.075
2016-05-31,11892451.88
2016-06-01,12005286.06
2016-06-02,12059045.4
2016-06-03,12815422.5
2016-06-04,12928938.54
2016-06-05,12903363.78
2016-06-06,13153036.32
2016-06-07,12956518.5
2016-06-08,13030077.82
2016-06-09,12897569.100000001
2016-06-10,12961223.85
2016-06-11,13613182.5
2016-06-12,15140003.1
2016-06-13,15824508.14
2016-06-14,15352469.3
2016-06-15,15655467.12
2016-06-16,17167957.28
2016-06-17,16853633.04
2016-06-18,17004411.96
2016-06-19,17223299.04
2016-06-20,15752700.48
2016-06-21,14958254.639999999
2016-06-22,13477629.75
2016-06-23,14070690.05
2016-06-24,14961323.38
2016-06-25,15044618.010000002
2016-06-26,14259683.36
2016-06-27,14699776.215
2016-06-28,14453504.7
2016-06-29,14263541.94
2016-06-30,15033980.525
2016-07-01,15138896.275
2016-07-02,15736246.375000002
2016-07-03,14812094.874999998
2016-07-04,15213268.85
2016-07-05,14942455.155
2016-07-06,15153307.959999999
2016-07-07,14330696.31
2016-07-08,14875119.365
2016-07-09,14658455.705
2016-07-10,14543213.82
2016-07-11,14513050.665000001
2016-07-12,14860955.2
2016-07-13,14610149.96
2016-07-14,14752810.049999999
2016-07-15,14894148.72
2016-07-16,14868264.48
2016-07-17,15173520
2016-07-18,15058246
2016-07-19,15029754
2016-07-20,14866313.719999999
2016-07-21,14878342.16
2016-07-22,14595867.649999999
2016-07-23,14658962.5
2016-07-24,14736995
2016-07-25,14666743.629999999
2016-07-26,14585537.999999998
2016-07-27,14662191.75
2016-07-28,14657390.4
2016-07-29,14650771.5
2016-07-30,14625573.065
2016-07-31,13981117.515
2016-08-01,13490210.600000001
2016-08-02,11989880.76
2016-08-03,12772740.72
2016-08-04,13098312.5
2016-08-05,13002357.5
2016-08-06,13196612.275
2016-08-07,13273109.85
2016-08-08,13184680.68
2016-08-09,13083992.725000001
2016-08-10,13275491.160000002
2016-08-11,13120975.379999999
2016-08-12,13107189.74
2016-08-13,13078421.450000001
2016-08-14,12822851.99
2016-08-15,12673640.59
2016-08-16,12910408.94
2016-08-17,12809947.775
2016-08-18,12799049.505
2016-08-19,12789112.145
2016-08-20,12971918.845
2016-08-21,12958988.614999998
2016-08-22,13047326.600000001
2016-08-23,12993703.29
2016-08-24,12907111.875
2016-08-25,12844931.07
2016-08-26,12929752.799999999
2016-08-27,12741148.8
2016-08-28,12843151.2
2016-08-29,12785162.445
2016-08-30,12823684.8
2016-08-31,12778311.45
2016-09-01,12774048.35
2016-09-02,12839975.535
2016-09-03,13390377.985
2016-09-04,13635719.319999998
2016-09-05,13507795.535000002
2016-09-06,13668451.02
2016-09-07,13719490.605
2016-09-08,14000277.165000001
2016-09-09,13872472.035000002
2016-09-10,13909713.870000001
2016-09-11,13557365.97
2016-09-12,13518167.200000001
2016-09-13,13567884.275
2016-09-14,13568597.43
2016-09-15,13510696.32
2016-09-16,13568389.669999998
2016-09-17,13568166.479999999
2016-09-18,13645836.6
2016-09-19,13575127.3
2016-09-20,13513358.4
2016-09-21,13328622
2016-09-22,13307705.305000002
2016-09-23,13446912.440000001
2016-09-24,13462969.52
2016-09-25,13418143.504999999
2016-09-26,13552757.46
2016-09-27,13520052.91
2016-09-28,13494509.639999999
2016-09-29,13509941.06
2016-09-30,13577736.545
2016-10-01,13726224.575
2016-10-02,13653764.2
2016-10-03,13672435.455
2016-10-04,13610276.83
2016-10-05,13676533.799999999
2016-10-06,13643088.36
2016-10-07,13778482.08
2016-10-08,13812372
2016-10-09,13765996.319999998
2016-10-10,13797456
2016-10-11,14318954.94
2016-10-12,14175255.944999998
2016-10-13,14174582.34
2016-10-14,14229026.045
2016-10-15,14231925.239999998
2016-10-16,14315778.879999999
2016-10-17,14267944.04
2016-10-18,14166763.66
2016-10-19,14045576.58
2016-10-20,14008969.274999999
2016-10-21,14076340.620000001
2016-10-22,14565463.5
2016-10-23,14527306.559999999
2016-10-24,14502353.76
2016-10-25,14608883.249999998
2016-10-26,15060193
2016-10-27,15438175.350000001
2016-10-28,15398649.075000001
2016-10-29,15941658.18
2016-10-30,15565145.084999999
2016-10-31,15551323.5
2016-11-01,16311781.450000001
2016-11-02,16616865.9
2016-11-03,15398385
2016-11-04,15762590.280000001
2016-11-05,15777542.335
2016-11-06,16001376.83
2016-11-07,15775065.02
2016-11-08,15892069.049999999
2016-11-09,16097097.190000001
2016-11-10,15911794.745
2016-11-11,16008377
2016-11-12,15732154.899999999
2016-11-13,15720543.299999999
2016-11-14,15828827.040000001
2016-11-15,15920037.645
2016-11-16,16569310.675
2016-11-17,16376307.165000001
2016-11-18,16834664.599999998
2016-11-19,16884817.3
2016-11-20,16462455.1
2016-11-21,16616866
2016-11-22,16821876.47
2016-11-23,16772440.879999999
2016-11-24,16804032.3
2016-11-25,16827975.39
2016-11-26,16736071.450000001
2016-11-27,16589116.14
2016-11-28,16569427.85
2016-11-29,16606489.75
2016-11-30,16829355.400000002
2016-12-01,17104490
2016-12-02,17458128.75
2016-12-03,17406611.1
2016-12-04,17429533.05
2016-12-05,17081680
2016-12-06,17266455
2016-12-07,17350518
2016-12-08,17385029.6
2016-12-09,17468972.85
2016-12-10,17528842.975
2016-12-11,17419947.125
2016-12-12,17621570.150000002
2016-12-13,17588238.799999997
2016-12-14,17664546.9
2016-12-15,17653759.2
2016-12-16,17767295
2016-12-17,17939967.5
2016-12-18,17988880
2016-12-19,17998835.599999998
2016-12-20,18187009.875
2016-12-21,18999061.5
2016-12-22,19483015.2
2016-12-23,20876378.97
2016-12-24,20290094.25
2016-12-25,20395243.14
2016-12-26,20534274.67
2016-12-27,21061252.8
2016-12-28,22364993.07
2016-12-29,22111060.16
2016-12-30,21878604.509999998
2016-12-31,22164608.27
2017-01-01,22610464.45
2017-01-02,23031727.95
2017-01-03,23217690.825
2017-01-04,25688893.25
2017-01-05,22838760
2017-01-06,20209456.875
2017-01-07,20509312.5
2017-01-08,20832633.125
2017-01-09,20384319.45
2017-01-10,20471897
2017-01-11,17962120.44
2017-01-12,18333294.75
2017-01-13,18765149.4
