date,BITCOIN,E1VFVN30,TCBF
2016-02-20,9776574.809999999,9000,10193
2016-02-21,9801158.16,9000,10193
2016-02-22,9791056.35,9100,10193
2016-02-23,9397038.735000001,9100,10193
2016-02-24,9489896.9,9200,10194
2016-02-25,9470566.17,9200,10194
2016-02-26,9615494.875,9200,10194
2016-02-27,9666155.6,9200,10194
2016-02-28,9679769.275,9200,10194
2016-02-29,9755088.66,9200,10194
2016-03-01,9658550.16,9200,10194
2016-03-02,9381002.85,9200,10199
2016-03-03,9340077.6,9300,10199
2016-03-04,9074739.625,9200,10199
2016-03-05,8823672.2,9200,10199
2016-03-06,8983179.1,9200,10199
2016-03-07,9212069.08,9200,10199
2016-03-08,9165202.2,9200,10199
2016-03-09,9201931.200000001,9200,10167
2016-03-10,9263874.6,9200,10167
2016-03-11,9344638.285,9300,10167
2016-03-12,9148338.27,9300,10167
2016-03-13,9191564.379999999,9300,10167
2016-03-14,9253078.41,9400,10167
2016-03-15,9258242.67,9200,10167
2016-03-16,9276280.65,9300,10202
2016-03-17,9319036.725,9300,10202
2016-03-18,9136423.95,9300,10202
2016-03-19,9148690.6,9300,10202
2016-03-20,9172554.81,9300,10202
2016-03-21,9182244,9300,10202
2016-03-22,9291518,9300,10232
2016-03-23,9337014.625,9300,10207
2016-03-24,9230051.924999999,9200,10207
2016-03-25,9286984.025,9200,10207
2016-03-26,9299473.425,9200,10207
2016-03-27,9485253.25,9200,10207
2016-03-28,9450454.5,9200,10207
2016-03-29,9302777.185,9100,10207
2016-03-30,9190562.955,9200,10198
2016-03-31,9287869.75,9100,10198
2016-04-01,9326376.72,9100,10200
2016-04-02,9377063.549999999,9100,10200
2016-04-03,9381752.64,9100,10200
2016-04-04,9366974.835,9100,10200
2016-04-05,9431721.16,9000,10200
2016-04-06,9398558,9200,10218
2016-04-07,9408267.05,9200,10218
2016-04-08,9352096.860000001,9300,10218
2016-04-09,9351650.969999999,9300,10218
2016-04-10,9439491.299999999,9300,10218
2016-04-11,9451742.3,9300,10218
2016-04-12,9546357,9300,10218
2016-04-13,9504478.139999999,9300,10265
2016-04-14,9523988.8,9400,10265
2016-04-15,9626545.27,9400,10265
2016-04-16,9681499.209999999,9400,10265
2016-04-17,9628109,9400,10265
2016-04-18,9627007.860000001,9400,10265
2016-04-19,9761298.040000001,9200,10265
2016-04-20,9892847.16,9200,10273
2016-04-21,10098742.5,9300,10273
2016-04-22,9990126.39,9400,10273
2016-04-23,10152317.51,9400,10273
2016-04-24,10347704.34,9400,10273
2016-04-25,10392094.725,9500,10273
2016-04-26,10484745.2,9500,10273
2016-04-27,9916608.39,9500,10237
2016-04-28,10069076.4,9400,10237
2016-04-29,10226180.16,9500,10237
2016-04-30,10119197.76,9500,10237
2016-05-01,10185170.24,9500,10260
2016-05-02,9945791.18,9500,10260
2016-05-03,10079534.795,9500,10260
2016-05-04,10000852.86,9500,10260
2016-05-05,10029829.21,9600,10263
2016-05-06,10296799.475,9600,10263
2016-05-07,10287890.475,9600,10263
2016-05-08,10307490.275,9600,10263
2016-05-09,10341716.88,9600,10263
2016-05-10,10089749.52,9500,10277
2016-05-11,10121773.305,9600,10277
2016-05-12,10184068.8,9700,10277
2016-05-13,10220968.65,9700,10277
2016-05-14,10241500.75,9700,10277
2016-05-15,10298856.725000001,9700,10277
2016-05-16,10148003.860000001,9700,10277
2016-05-17,10124349.29,9800,10334
2016-05-18,10146232.32,9900,10334
2016-05-19,9782011.32,9900,10334
2016-05-20,9945793.875,9900,10334
2016-05-21,9959853.899999999,9900,10334
2016-05-22,9875047.4,9900,10334
2016-05-23,9938886.67,9800,10334
2016-05-24,9977934.275,9700,10265
2016-05-25,10082900.425,9900,10265
2016-05-26,10177678.9,9700,10265
2016-05-27,10548436.41,9700,10265
2016-05-28,11711904.75,9700,10265
2016-05-29,11755999.26,9700,10265
2016-05-30,11937907.075,9800,10265
2016-05-31,11892451.88,9800,10367
2016-06-01,12005286.06,9800,10366
2016-06-02,12059045.4,9800,10366
2016-06-03,12815422.5,9900,10366
2016-06-04,12928938.54,9900,10366
2016-06-05,12903363.78,9900,10366
2016-06-06,13153036.32,9900,10366
2016-06-07,12956518.5,9900,10384
2016-06-08,13030077.82,10000,10384
2016-06-09,12897569.100000001,10100,10384
2016-06-10,12961223.85,10100,10384
2016-06-11,13613182.5,10100,10384
2016-06-12,15140003.1,10100,10384
2016-06-13,15824508.14,10000,10384
2016-06-14,15352469.3,9900,10387
2016-06-15,15655467.12,9900,10387
2016-06-16,17167957.28,9900,10387
2016-06-17,16853633.04,9800,10387
2016-06-18,17004411.96,9800,10387
2016-06-19,17223299.04,9800,10387
2016-06-20,15752700.48,9900,10387
2016-06-21,14958254.639999999,9900,10424
2016-06-22,13477629.75,9900,10424
2016-06-23,14070690.05,9900,10424
