date,BITCOIN,E1VFVN30,HPG,VCB,VIC,VNM,TCBF
2015-09-09,5367100,9300,7260.9000000000005,31590.2,25466.5,47321.6,10000
2015-09-10,5377314.140000001,9300,7190,31728.100000000002,25770.399999999998,48292.299999999996,10030
2015-09-11,5430970.05,9200,7024.4,30900.4,25527.3,47807,10000
2015-09-12,5331774.25,9200,7024.4,30900.4,25527.3,47807,10000
2015-09-13,5203721.49,9200,7024.4,30900.4,25527.3,47807,10000
2015-09-14,5194721.87,9300,6929.8,29796.9,25405.7,47321.6,10000
2015-09-15,5195648.6,9100,6906.1,29452,25345,47321.6,10000
2015-09-16,5173175.005,9100,7024.4,30348.600000000002,25345,47321.6,9994
2015-09-17,5252133.39,9200,7095.4,30072.8,25527.3,47321.6,9994
2015-09-18,5262270.91,9300,7284.6,30348.600000000002,25527.3,47807,9994
2015-09-19,5242012.36,9300,7284.6,30348.600000000002,25527.3,47807,9994
2015-09-20,5227606.28,9300,7284.6,30348.600000000002,25527.3,47807,9994
2015-09-21,5116861.755,9400,7497.4,30831.5,26074.3,48049.700000000004,9994
2015-09-22,5208425.6,9400,7521.0999999999995,30762.5,26013.5,49505.7,9994
2015-09-23,5186491.37,9400,7473.8,30693.5,25831.2,49020.4,9989
2015-09-24,5291222.3,9300,7426.5,30417.6,25770.399999999998,48535,9989
2015-09-25,5312006.91,9300,7355.5,30348.600000000002,25588.100000000002,49020.4,9989
2015-09-26,5284984.11,9300,7355.5,30348.600000000002,25588.100000000002,49020.4,9989
2015-09-27,5259988.0200000005,9300,7355.5,30348.600000000002,25588.100000000002,49020.4,9989
2015-09-28,5405534.76,9300,7142.7,29658.899999999998,25527.3,49505.7,9989
2015-09-29,5334170.574999999,9200,7119,29521,25284.199999999997,48535,9989
2015-09-30,5340155.66,9500,7190,29589.9,25345,48535,10064
2015-10-01,5367178.46,9300,7260.9000000000005,29658.899999999998,25284.199999999997,49020.4,10086
2015-10-02,5355938.7,9300,7308.2,29658.899999999998,25284.199999999997,48535,10086
2015-10-03,5392801.8,9300,7308.2,29658.899999999998,25284.199999999997,48535,10086
2015-10-04,5391677.925,9300,7308.2,29658.899999999998,25284.199999999997,48535,10086
2015-10-05,5415833.149999999,9300,7426.5,30003.8,25284.199999999997,49991.100000000006,10086
2015-10-06,5554086.16,9400,7568.4,31245.3,25588.100000000002,49991.100000000006,10086
2015-10-07,5494636,9400,7450.1,31176.300000000003,25831.2,49505.7,10080
2015-10-08,5397155.04,9600,7615.700000000001,32348.9,26439,49020.4,10080
2015-10-09,5433977.475,9600,7663,32073,26317.399999999998,49020.4,10080
2015-10-10,5472227.695,9600,7663,32073,26317.399999999998,49020.4,10080
2015-10-11,5537831.2700000005,9600,7663,32073,26317.399999999998,49020.4,10080
2015-10-12,5508048.449999999,9700,7757.6,33176.6,26256.6,49020.4,10080
2015-10-13,5624685.9,9600,7663,33038.600000000006,26013.5,49505.7,10080
2015-10-14,5671981.65,9500,7639.3,32555.8,25831.2,51447.1,10152
2015-10-15,5710501.05,9500,7639.3,32693.800000000003,25831.2,50961.799999999996,10152
2015-10-16,5869483.83,9600,7568.4,32211,26013.5,51447.1,10152
2015-10-17,6079816.47,9600,7568.4,32211,26013.5,51447.1,10152
2015-10-18,5904465,9600,7568.4,32211,26013.5,51447.1,10152
2015-10-19,5938482.15,9700,7568.4,31728.100000000002,25952.8,53873.9,10152
2015-10-20,6072180.3,9600,7426.5,31314.3,25648.9,54359.200000000004,10152
2015-10-21,6019104.149999999,9700,7379.2,31452.2,25345,54844.6,10064
2015-10-22,6147094.399999999,9700,7426.5,31866.1,25831.2,55329.9,10064
2015-10-23,6242830.2,9800,7521.0999999999995,32348.9,26986,55815.3,10064
2015-10-24,6366674.550000001,9800,7521.0999999999995,32348.9,26986,55815.3,10064
2015-10-25,6381903.15,9800,7521.0999999999995,32348.9,26986,55815.3,10064
2015-10-26,6413814.000000001,9800,7544.7,32211,27046.8,54844.6,10064
2015-10-27,6601562.5200000005,9700,7497.4,32142.000000000004,26986,55329.9,10064
2015-10-28,6790633.789999999,9700,7426.5,31797.1,26986,55329.9,10011
2015-10-29,7059804.84,9800,7450.1,32211,27958.5,57756.700000000004,10011
2015-10-30,7350836.405,9800,7450.1,32900.7,27654.6,57271.299999999996,10011
2015-10-31,7032332.175000001,9800,7450.1,32900.7,27654.6,57271.299999999996,10011
2015-11-01,7358653.829999999,9800,7450.1,32900.7,27654.6,57271.299999999996,10037
2015-11-02,8158791.399999999,9700,7379.2,32900.7,27350.7,56786,10037
2015-11-03,9032039.1,9900,7450.1,33245.600000000006,27958.5,59698.1,10037
2015-11-04,9163910,9900,7355.5,33245.600000000006,27715.399999999998,59698.1,10023
2015-11-05,8654724.315,9900,7331.9,33038.600000000006,27654.6,62124.8,10023
2015-11-06,8366148.76,9900,7331.9,33107.6,27411.5,62610.2,10023
2015-11-07,8605890.84,9900,7331.9,33107.6,27411.5,62610.2,10023
2015-11-08,8360334.119999999,9900,7331.9,33107.6,27411.5,62610.2,10023
2015-11-09,8511909.075,9900,7260.9000000000005,33866.3,27411.5,61639.5,10023
2015-11-10,7553621.699999999,9900,7213.5999999999995,33314.5,27046.8,62124.8,10023
2015-11-11,7012548,9800,7166.299999999999,32900.7,26803.7,63095.5,10056
2015-11-12,7538217.225000001,9700,7119,32831.7,26560.5,64066.2,10056
2015-11-13,7578684.225,9800,7119,32762.7,26925.2,66493,10056
2015-11-14,7503361.425,9800,7119,32762.7,26925.2,66493,10056
2015-11-15,7239283.275,9800,7119,32762.7,26925.2,66493,10056
2015-11-16,7471716.05,9900,7000.8,32486.800000000003,26378.2,67949,10056
2015-11-17,7563453.975000001,9800,7142.7,32555.8,26378.2,65036.9,10056
2015-11-18,7536782.850000001,9800,7119,32555.8,26560.5,64066.2,10090
2015-11-19,7335248.725000001,9700,7048.0999999999995,32417.9,26378.2,63095.5,10090
2015-11-20,7244909.274999999,9700,7071.7,32417.9,26560.5,63580.9,10090
2015-11-21,7348507.5,9700,7071.7,32417.9,26560.5,63580.9,10090
2015-11-22,7274572.975,9700,7071.7,32417.9,26560.5,63580.9,10090
2015-11-23,7263462.5,9700,7142.7,32211,26560.5,61639.5,10090
2015-11-24,7224105,9500,7119,31866.1,26378.2,59698.1,10090
2015-11-25,7403694.9,9700,7355.5,31728.100000000002,26378.2,60668.799999999996,9997
2015-11-26,7929299.3,9700,7497.4,31314.3,26256.6,59698.1,9997
2015-11-27,8053902.15,9400,7402.8,30555.6,25892,60183.4,9997
2015-11-28,8032541.4,9400,7402.8,30555.6,25892,60183.4,9997
2015-11-29,8369816.4,9400,7402.8,30555.6,25892,60183.4,9997
2015-11-30,8481234.3,9400,7213.5999999999995,29589.9,26013.5,60183.4,9997
2015-12-01,8156673.2,9400,7166.299999999999,29038.1,26013.5,59212.7,10038
2015-12-02,8099100,9300,7237.3,29107.1,25892,59698.1,10038
2015-12-03,8135302.875,9400,7237.3,29383,26013.5,59698.1,10038
2015-12-04,8182270.4,9300,7166.299999999999,29176.100000000002,25709.6,59698.1,10038
2015-12-05,8722015.200000001,9300,7166.299999999999,29176.100000000002,25709.6,59698.1,10038
2015-12-06,8712124,9300,7166.299999999999,29176.100000000002,25709.6,59698.1,10038
2015-12-07,8875504.05,9300,7071.7,28141.5,25709.6,58242,10038
2015-12-08,9413581.8,9300,7166.299999999999,29727.9,25770.399999999998,60668.799999999996,10038
2015-12-09,9405407.2,9300,7048.0999999999995,28555.3,25405.7,59698.1,10046
2015-12-10,9344486.4,9300,6953.5,28417.4,25101.8,59698.1,10046
2015-12-11,10191375,9200,7048.0999999999995,28486.3,25223.4,59698.1,10046
2015-12-12,9829575,9200,7048.0999999999995,28486.3,25223.4,59698.1,10046
